# Count	Section	Page	Subhead	Code

97	Currencies	Central Asia (C)	Central Asia: Kyrgyzstan	KGS-symbol-narrow
8	Units	Energy and Power	foodcalorie	narrow-other-nominative
6	Units	Graphics	pixel-per-centimeter	narrow-one-nominative
6	Date & Time	Gregorian	Day Periods - abbreviated - Formatting	am
6	Units	Graphics	dot	narrow-one-nominative
6	Units	Graphics	dot-per-inch	narrow-other-nominative
6	Units	Graphics	em	narrow-other-nominative
5	Units	Graphics	pixel-per-centimeter	narrow-other-nominative
5	Units	Graphics	pixel-per-inch	narrow-one-nominative
5	Units	Graphics	pixel-per-inch	narrow-other-nominative
5	Units	Graphics	pixel	narrow-other-nominative
5	Units	Length	earth-radius	narrow-one-nominative
5	Units	Length	earth-radius	narrow-other-nominative
5	Units	Volume	megaliter	narrow-one-nominative
5	Units	Volume	megaliter	narrow-other-nominative
5	Units	Volume	centiliter	narrow-one-nominative
5	Units	Volume	centiliter	narrow-other-nominative
5	Date & Time	Gregorian	Day Periods - wide - Formatting	am
5	Date & Time	Gregorian	Day Periods - abbreviated - Formatting	pm
5	Units	Graphics	dot	narrow-other-nominative
5	Units	Graphics	em	narrow-one-nominative
5	Units	Speed and Acceleration	meter-per-second	narrow-one-nominative
5	Units	Speed and Acceleration	mile-per-hour	narrow-other-nominative
4	Units	Energy and Power	foodcalorie	narrow-one-nominative
4	Units	Graphics	megapixel	narrow-other-nominative
4	Units	Graphics	pixel	narrow-one-nominative
4	Units	Length	fathom	narrow-one-nominative
4	Units	Length	fathom	narrow-other-nominative
4	Units	Volume	hectoliter	narrow-one-nominative
4	Units	Volume	hectoliter	narrow-other-nominative
4	Units	Volume	deciliter	narrow-one-nominative
4	Units	Volume	deciliter	narrow-other-nominative
4	Units	Volume	cup-metric	narrow-other-nominative
4	Date & Time	Gregorian	Day Periods - wide - Formatting	pm
4	Units	Length	millimeter	narrow-one-nominative
4	Units	Electrical and Frequency	volt	narrow-one-nominative
4	Units	Electrical and Frequency	gigahertz	narrow-one-nominative
4	Units	Electrical and Frequency	megahertz	narrow-one-nominative
4	Units	Electrical and Frequency	hertz	narrow-one-nominative
4	Units	Digital	terabyte	narrow-one-nominative
4	Units	Digital	terabit	narrow-one-nominative
4	Units	Digital	gigabyte	narrow-one-nominative
4	Units	Graphics	dot-per-inch	narrow-one-nominative
4	Units	Speed and Acceleration	mile-per-hour	narrow-one-nominative
4	Units	Speed and Acceleration	meter-per-second	narrow-other-nominative
4	Miscellaneous	Person Name Formats	PersonName Main Patterns for Order: surnameFirst	long-referring-formal
4	Miscellaneous	Person Name Formats	PersonName Main Patterns for Order: surnameFirst	short-referring-formal
4	Miscellaneous	Person Name Formats	PersonName Sorting Patterns (Usage: referring)	short-formal
4	Units	Volume	pint-metric	narrow-one-nominative
4	Units	Volume	pint-metric	narrow-other-nominative
4	Units	Digital	terabyte	narrow-other-nominative
4	Units	Digital	terabit	narrow-other-nominative
4	Units	Digital	gigabyte	narrow-other-nominative
4	Units	Digital	gigabit	narrow-other-nominative
4	Units	Digital	megabyte	narrow-other-nominative
4	Units	Digital	megabit	narrow-other-nominative
4	Units	Digital	bit	narrow-other-nominative
3	Units	Digital	petabyte	narrow-one-nominative
3	Units	Digital	petabyte	narrow-other-nominative
3	Date & Time	Gregorian	Formats - Standard - Date Formats	long
3	Units	Graphics	megapixel	narrow-one-nominative
3	Units	Length	decimeter	narrow-one-nominative
3	Units	Length	decimeter	narrow-other-nominative
3	Units	Length	furlong	narrow-one-nominative
3	Units	Length	furlong	narrow-other-nominative
3	Units	Area	square-kilometer	narrow-one-nominative
3	Units	Area	square-kilometer	narrow-other-nominative
3	Units	Volume	cubic-kilometer	narrow-one-nominative
3	Units	Volume	cubic-kilometer	narrow-other-nominative
3	Units	Volume	cubic-meter	narrow-one-nominative
3	Units	Volume	cubic-meter	narrow-other-nominative
3	Units	Volume	cubic-yard	narrow-one-nominative
3	Units	Volume	cubic-foot	narrow-one-nominative
3	Units	Volume	cubic-foot	narrow-other-nominative
3	Units	Volume	milliliter	narrow-one-nominative
3	Units	Volume	milliliter	narrow-other-nominative
3	Units	Volume	cup-metric	narrow-one-nominative
3	Date & Time	Gregorian	Day Periods - wide - Standalone	am
3	Date & Time	Gregorian	Day Periods - wide - Standalone	pm
3	Units	Length	kilometer	narrow-one-nominative
3	Units	Volume	acre-foot	narrow-one-nominative
3	Units	Mass and Weight	ounce	narrow-one-nominative
3	Units	Energy and Power	calorie	narrow-one-nominative
3	Units	Electrical and Frequency	kilohertz	narrow-one-nominative
3	Units	Weather	atmosphere	narrow-one-nominative
3	Units	Digital	kilobit	narrow-one-nominative
3	Units	Graphics	dot-per-centimeter	narrow-one-nominative
3	Units	Graphics	dot-per-centimeter	narrow-other-nominative
3	Date & Time	Gregorian	Formats - Flexible - Date Formats	MEd
3	Units	Length	astronomical-unit	narrow-one-nominative
3	Units	Length	astronomical-unit	narrow-other-nominative
3	Units	Volume	cup	narrow-one-nominative
3	Units	Volume	cup	narrow-other-nominative
3	Units	Speed and Acceleration	kilometer-per-hour	narrow-other-nominative
3	Miscellaneous	Person Name Formats	PersonName Main Patterns for Order: surnameFirst	long-referring-informal
3	Miscellaneous	Person Name Formats	PersonName Main Patterns for Order: surnameFirst	medium-referring-formal
3	Miscellaneous	Person Name Formats	PersonName Main Patterns for Order: surnameFirst	medium-referring-informal
3	Miscellaneous	Person Name Formats	PersonName Main Patterns for Order: surnameFirst	short-referring-informal
3	Units	Energy and Power	kilowatt	narrow-other-nominative
3	Miscellaneous	Person Name Formats	PersonName Sorting Patterns (Usage: referring)	medium-formal
