# Section	Page	Header	Code	Locale	Old	New	Level
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	af	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	am	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	ar	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	as	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	az	CFA	F CFA	moderate
Numbers	Compact Decimal Formatting	Short Currency 	10-digits-short-one	be	0 млрд ¤ 	0 млрд ¤	modern
Numbers	Compact Decimal Formatting	Short Currency 	10-digits-short-few	be	0 млрд ¤ 	0 млрд ¤	modern
Numbers	Compact Decimal Formatting	Short Currency 	10-digits-short-many	be	0 млрд ¤ 	0 млрд ¤	modern
Numbers	Compact Decimal Formatting	Short Currency 	10-digits-short-other	be	0 млрд ¤ 	0 млрд ¤	modern
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	be	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	bg	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	bn	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	bs	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	ca	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	chr	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	cs	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	cy	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	da	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	de	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	el	CFA	F CFA	moderate
Locale Display Names	Languages (O-S)	R	Root ► root	en	Root	▷removed◁	comprehensive
Locale Display Names	Geographic Regions	world	001	en	World	world	moderate
Numbers	Symbols	Grouping Control	Minimum Grouping Digits	es_419	2	1	moderate
Numbers	Symbols	Grouping Control	Minimum Grouping Digits	es_MX	2	1	moderate
Numbers	Symbols	Grouping Control	Minimum Grouping Digits	es_US	2	1	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	et	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	eu	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	fa	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	fi	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	fil	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	fo	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	fr	CFA	F CFA	basic
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	gd	CFA	F CFA	moderate
Miscellaneous	Minimal Pairs	Plural	two	gd	{0}  bhròig	{0} bhròig	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	gl	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	gu	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	he	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	hi	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	hr	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	hu	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	hy	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	id	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	is	CFA	F CFA	moderate
Numbers	Symbols	Symbols 	approximatelySign	ja	約 	約	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	ja	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	ka	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	kk	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	km	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	kn	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	ko	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	kok	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	ky	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	lo	CFA	F CFA	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	lv	CFA	F CFA	moderate
Numbers	Compact Decimal Formatting	Short Currency 	4-digits-short-one	mk	0 илј'.' ¤ 	0 илј'.' ¤	modern
Numbers	Compact Decimal Formatting	Short Currency 	4-digits-short-other	mk	0 илј'.' ¤ 	0 илј'.' ¤	modern
Numbers	Compact Decimal Formatting	Short Currency 	5-digits-short-one	mk	00 илј'.' ¤ 	00 илј'.' ¤	modern
Numbers	Compact Decimal Formatting	Short Currency 	5-digits-short-other	mk	00 илј'.' ¤ 	00 илј'.' ¤	modern
Numbers	Compact Decimal Formatting	Short Currency 	6-digits-short-one	mk	000 илј'.' ¤ 	000 илј'.' ¤	modern
