#Dir	Code	English Name	Native Name	Script	CLDR Target	Sublocales	Fields	UC	Missing	Modern	Miss +UC	Moderate	Miss +UC	Basic	Miss +UC	Core	Miss +UC	Core-Missing
common	af	Afrikaans	Afrikaans	Latn	modern	2	7141	17	1	7141	18	3384	0	386	0	9	0	
common	am	Amharic	አማርኛ	Ethi	modern	1	7253	0	0	7253	0	3481	0	473	0	9	0	
common	ar	Arabic	العربية	Arab	modern	28	10128	6	1	10128	7	5783	7	877	1	8	1	orientation
common	as	Assamese	অসমীয়া	Beng	modern	1	7121	0	5	7121	5	3358	3	396	0	9	0	
common	az	Azerbaijani	azərbaycan	Latn	modern	1	7261	3	0	7261	3	3479	3	465	0	9	0	
common	be	Belarusian	беларуская	Cyrl	modern	1	8455	0	6	8455	6	4425	5	413	0	9	0	
common	bg	Bulgarian	български	Cyrl	modern	1	7159	6	0	7159	6	3398	3	398	0	9	0	
common	bn	Bangla	বাংলা	Beng	modern	2	7187	0	0	7187	0	3407	0	405	0	9	0	
common	bs	Bosnian	bosanski	Latn	modern	1	7840	0	0	7840	0	3930	0	404	0	9	0	
common	ca	Catalan	català	Latn	modern	4	7189	0	0	7189	0	3413	0	397	0	9	0	
common	ceb	Cebuano	Binisaya	Latn	moderate	1	3356	0	3751	3356	3751	3345	3	384	0	8	0	ordinals*
common	cs	Czech	čeština	Latn	modern	1	8525	0	0	8525	0	4490	0	417	0	9	0	
common	cy	Welsh	Cymraeg	Latn	modern	1	9843	0	0	9843	0	5542	0	426	0	9	0	
common	da	Danish	dansk	Latn	modern	2	7247	0	0	7247	0	3402	0	393	0	9	0	
common	de	German	Deutsch	Latn	modern	7	7851	0	0	7851	0	3412	0	405	0	9	0	
common	doi	Dogri	डोगरी	Deva	basic	1	507	0	6534	507	6534	485	2818	385	1	7	1	ordinals*, collation
common	el	Greek	Ελληνικά	Grek	modern	2	7154	2	0	7154	2	3392	0	395	0	9	0	
common	en	English	English	Latn	modern	106	6779	2	0	6779	2	2945	2	700	0	9	0	
common	es	Spanish	español	Latn	modern	28	7272	0	0	7272	0	3410	0	533	0	9	0	
common	et	Estonian	eesti	Latn	modern	1	7166	0	0	7166	0	3401	0	389	0	9	0	
common	eu	Basque	euskara	Latn	modern	1	7177	2	2	7177	4	3403	3	386	1	8	1	collation
common	fa	Persian	فارسی	Arab	modern	2	7368	0	1	7368	1	3558	1	559	1	8	1	orientation
common	fi	Finnish	suomi	Latn	modern	1	7188	0	0	7188	0	3420	0	395	0	9	0	
common	fil	Filipino	Filipino	Latn	modern	1	7168	2	2	7168	4	3394	3	392	0	9	0	
common	fr	French	français	Latn	modern	46	8041	0	0	8041	0	4043	0	672	0	9	0	
common	ga	Irish	Gaeilge	Latn	modern	2	9125	9	1	9125	10	4973	7	419	0	9	0	
common	gl	Galician	galego	Latn	modern	1	7175	0	1	7175	1	3401	0	388	0	9	0	
common	gu	Gujarati	ગુજરાતી	Gujr	modern	1	7178	0	0	7178	0	3399	0	389	0	9	0	
common	ha	Hausa	Hausa	Latn	moderate	3	6455	1	657	6455	658	3358	0	386	0	8	0	ordinals*
common	he	Hebrew	עברית	Hebr	modern	1	8684	0	1	8684	1	4617	1	553	1	8	1	orientation
common	hi	Hindi	हिन्दी	Deva	modern	1	7461	18	4	7461	22	3468	16	466	0	9	0	
common	hr	Croatian	hrvatski	Latn	modern	2	7840	0	0	7840	0	3941	0	410	0	9	0	
common	hu	Hungarian	magyar	Latn	modern	1	7178	0	0	7178	0	3412	0	391	0	9	0	
common	hy	Armenian	հայերեն	Armn	modern	1	7127	20	4	7127	24	3382	11	394	0	9	0	
common	id	Indonesian	Indonesia	Latn	modern	1	6596	0	0	6596	0	2928	0	459	0	9	0	
common	ig	Igbo	Igbo	Latn	moderate	1	5798	0	642	5798	642	2817	2	375	0	8	0	ordinals*
common	is	Icelandic	íslenska	Latn	modern	1	7167	0	0	7167	0	3392	0	391	0	9	0	
common	it	Italian	italiano	Latn	modern	4	7249	0	0	7249	0	3399	0	394	0	9	0	
common	ja	Japanese	日本語	Jpan	modern	1	7187	0	0	7187	0	3359	0	864	0	9	0	
common	jv	Javanese	Jawa	Latn	modern	1	6429	0	6	6429	6	2807	4	372	2	6	2	ordinals*, casing, collation
common	ka	Georgian	ქართული	Geor	modern	1	7149	0	3	7149	3	3390	3	393	0	9	0	
common	kk	Kazakh	қазақ тілі	Cyrl	modern	1	7146	0	4	7146	4	3387	3	399	0	9	0	
common	km	Khmer	ខ្មែរ	Khmr	modern	1	6472	0	3	6472	3	2849	2	380	0	8	0	romanization*
common	kn	Kannada	ಕನ್ನಡ	Knda	modern	1	7171	4	0	7171	4	3396	0	390	0	9	0	
common	ko	Korean	한국어	Kore	modern	2	6837	0	0	6837	0	2951	0	472	0	9	0	
common	kok	Konkani	कोंकणी	Deva	basic	1	6432	0	9	6432	9	2819	3	375	1	7	1	plurals, ordinals*
common	ky	Kyrgyz	кыргызча	Cyrl	modern	1	7142	4	4	7142	8	3386	3	391	0	9	0	
common	lo	Lao	ລາວ	Laoo	modern	1	6474	2	0	6474	2	2851	1	380	0	8	0	romanization*
common	lt	Lithuanian	lietuvių	Latn	modern	1	8518	0	0	8518	0	4484	0	415	0	9	0	
common	lv	Latvian	latviešu	Latn	modern	1	7839	0	0	7839	0	3939	0	399	0	9	0	
common	mai	Maithili	मैथिली	Deva	basic	1	425	0	5967	425	5967	411	2362	374	2	6	2	plurals, ordinals*, collation
common	mk	Macedonian	македонски	Cyrl	modern	1	7163	0	0	7163	0	3402	0	392	0	9	0	
common	ml	Malayalam	മലയാളം	Mlym	modern	1	7198	4	0	7198	4	3423	0	390	0	9	0	
common	mn	Mongolian	монгол	Cyrl	modern	1	7133	12	4	7133	16	3379	9	392	0	9	0	
common	mni	Manipuri	মৈতৈলোন্	Beng	basic	1	427	0	5957	427	5957	413	2352	366	2	6	2	plurals, ordinals*, collation
common	mr	Marathi	मराठी	Deva	modern	1	7193	0	0	7193	0	3416	0	398	0	9	0	
common	ms	Malay	Melayu	Latn	modern	4	6562	0	0	6562	0	2924	0	467	0	9	0	
common	my	Burmese	မြန်မာ	Mymr	modern	1	6491	0	3	6491	3	2862	2	392	0	9	0	
common	ne	Nepali	नेपाली	Deva	modern	2	7168	0	3	7168	3	3403	3	401	0	9	0	
common	nl	Dutch	Nederlands	Latn	modern	7	7239	0	0	7239	0	3394	0	408	0	9	0	
common	nn	Norwegian Nynorsk	norsk nynorsk	Latn	modern	1	7061	48	1	7061	49	3351	1	390	1	7	1	ordinals*, collation
common	no	Norwegian	norsk	Latn	modern	2	7253	0	0	7253	0	3390	0	394	0	9	0	
common	or	Odia	ଓଡ଼ିଆ	Orya	modern	1	7095	0	34	7095	34	3357	9	389	0	9	0	
common	pa	Punjabi	ਪੰਜਾਬੀ	Guru	modern	1	7170	0	4	7170	4	3404	3	399	0	9	0	
common	pcm	Nigerian Pidgin	Naijíriá Píjin	Latn	basic	1	7098	0	7	7098	7	3344	5	382	2	6	2	ordinals*, casing, collation
common	pl	Polish	polski	Latn	modern	1	10516	0	0	10516	0	4486	0	418	0	9	0	
common	ps	Pashto	پښتو	Arab	modern	2	7297	0	7	7297	7	3514	4	550	1	8	1	orientation
common	pt	Portuguese	português	Latn	modern	12	7331	0	0	7331	0	3483	0	532	0	9	0	
common	ro	Romanian	română	Latn	modern	2	7842	0	0	7842	0	3942	0	410	0	9	0	
common	ru	Russian	русский	Cyrl	modern	6	10847	0	0	10847	0	4467	0	499	0	9	0	
common	sa	Sanskrit	संस्कृत भाषा	Deva	basic	1	494	8	5891	494	5899	478	2294	374	1	7	1	plurals, ordinals*
common	sat	Santali	ᱥᱟᱱᱛᱟᱲᱤ	Olck	basic	1	443	0	7247	443	7247	434	3397	393	1	6	1	ordinals*, romanization*, collation
common	sd	Sindhi	سنڌي	Arab	modern	1	7100	3	7	7100	10	3346	8	386	2	7	2	orientation, collation
common	sd_Deva	Sindhi (Devanagari)	सिन्धी (देवनागिरी)	Deva	basic	1	432	0	6610	432	6610	424	2881	387	1	8	1	collation
common	si	Sinhala	සිංහල	Sinh	modern	1	7156	0	5	7156	5	3398	3	391	0	8	0	romanization*
common	sk	Slovak	slovenčina	Latn	modern	1	8524	0	0	8524	0	4489	0	411	0	9	0	
common	sl	Slovenian	slovenščina	Latn	modern	1	8517	0	0	8517	0	4482	0	408	0	9	0	
common	so	Somali	Soomaali	Latn	modern	4	7139	1	87	7139	88	3431	4	462	1	7	1	ordinals*, collation
common	sq	Albanian	shqip	Latn	modern	3	7079	75	4	7079	79	3351	48	393	0	9	0	
