# Count	Section	Page	Subhead	Code

80	Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol
3	Numbers	Symbols	Grouping Control	Minimum Grouping Digits
3	Core Data	Alphabetic Information	Characters in Use	Main Letters
2	Locale Display Names	Territories (Europe)	Northern Europe	NO
2	Date & Time	Fields	Date Fields	era
2	Date & Time	Fields	Date Fields	year
2	Date & Time	Fields	Date Fields	month
2	Date & Time	Fields	Date Fields	week
2	Date & Time	Fields	Date Fields	day
2	Date & Time	Fields	Date Fields	hour
2	Date & Time	Fields	Date Fields	minute
2	Date & Time	Fields	Date Fields	second
2	Date & Time	Gregorian	Day Periods - wide - Formatting	am
2	Date & Time	Gregorian	Day Periods - wide - Formatting	pm
2	Date & Time	Gregorian	Day Periods - abbreviated - Formatting	am
2	Date & Time	Gregorian	Day Periods - abbreviated - Formatting	pm
2	Date & Time	Gregorian	Formats - Standard - Date Formats	full
2	Date & Time	Gregorian	Formats - Standard - Date Formats	long
2	Date & Time	Gregorian	Formats - Standard - Date Formats	medium
2	Date & Time	Gregorian	Formats - Standard - Date Formats	short
2	Date & Time	Gregorian	Formats - Flexible - Date Formats	MEd
2	Date & Time	Gregorian	Formats - Flexible - Date Formats	MMMEd
2	Numbers	Symbols	Symbols 	decimal
2	Numbers	Symbols	Symbols 	group
2	Numbers	Number Formatting Patterns	Standard Patterns 	standard-percent
2	Currencies	North America (C)	Northern America: Canada	CAD-symbol
2	Currencies	North America (C)	Northern America: United States	USD-symbol
2	Currencies	North America (C)	Central America: Mexico	MXN-symbol
2	Currencies	North America (C)	Caribbean: St. Lucia	XCD-symbol
2	Currencies	South America (C)	South America: Brazil	BRL-symbol
2	Currencies	Northern/Western Europe	Northern Europe: Norway	NOK-name-one
2	Currencies	Northern/Western Europe	Northern Europe: Norway	NOK-name-other
2	Currencies	Northern/Western Europe	Northern Europe: Norway	NOK-name
2	Currencies	Northern/Western Europe	Northern Europe: Norway	NOK-symbol
2	Currencies	Middle Africa	Middle Africa: Cameroon	XAF-symbol
2	Currencies	Western Asia (C)	Western Asia: Israel	ILS-symbol
2	Currencies	Eastern Asia (C)	Eastern Asia: China	CNY-symbol
2	Currencies	Eastern Asia (C)	Eastern Asia: Hong Kong SAR China	HKD-symbol
2	Currencies	Eastern Asia (C)	Eastern Asia: Japan	JPY-symbol
2	Currencies	Eastern Asia (C)	Eastern Asia: South Korea	KRW-symbol
2	Currencies	Eastern Asia (C)	Eastern Asia: Taiwan	TWD-symbol
2	Currencies	Southern Asia (C)	Southern Asia: India	INR-symbol
2	Currencies	Southeast Asia (C)	Southeast Asia: Vietnam	VND-symbol
2	Currencies	Oceania (C)	Australasia: Australia	AUD-symbol
2	Currencies	Oceania (C)	Australasia: New Zealand	NZD-symbol
2	Currencies	Oceania (C)	Polynesia: French Polynesia	XPF-symbol
2	Units	Duration	day	narrow-one-nominative
2	Units	Duration	day	narrow-other-nominative
2	Units	Duration	second	narrow-one-nominative
2	Units	Duration	second	narrow-other-nominative
2	Units	Duration	millisecond	narrow-one-nominative
2	Units	Duration	millisecond	narrow-other-nominative
2	Units	Duration	nanosecond	narrow-one-nominative
2	Units	Duration	nanosecond	narrow-other-nominative
2	Units	Length	kilometer	narrow-one-nominative
2	Units	Length	kilometer	narrow-other-nominative
2	Units	Length	meter	narrow-one-nominative
2	Units	Length	meter	narrow-other-nominative
2	Units	Length	decimeter	narrow-one-nominative
2	Units	Length	decimeter	narrow-other-nominative
2	Units	Length	centimeter	narrow-one-nominative
2	Units	Length	centimeter	narrow-other-nominative
2	Units	Length	millimeter	narrow-one-nominative
2	Units	Length	millimeter	narrow-other-nominative
2	Units	Length	picometer	narrow-one-nominative
2	Units	Length	picometer	narrow-other-nominative
2	Units	Area	square-kilometer	narrow-one-nominative
2	Units	Area	square-kilometer	narrow-other-nominative
2	Units	Area	hectare	narrow-one-nominative
2	Units	Area	hectare	narrow-other-nominative
2	Units	Area	square-meter	narrow-one-nominative
2	Units	Area	square-meter	narrow-other-nominative
2	Units	Volume	cubic-kilometer	narrow-one-nominative
2	Units	Volume	cubic-kilometer	narrow-other-nominative
2	Units	Volume	liter	narrow-one-nominative
2	Units	Volume	liter	narrow-other-nominative
2	Units	Speed and Acceleration	g-force	narrow-one-nominative
2	Units	Speed and Acceleration	g-force	narrow-other-nominative
2	Units	Speed and Acceleration	meter-per-second	narrow-one-nominative
2	Units	Speed and Acceleration	meter-per-second	narrow-other-nominative
2	Units	Mass and Weight	kilogram	narrow-one-nominative
2	Units	Mass and Weight	kilogram	narrow-other-nominative
2	Units	Mass and Weight	gram	narrow-one-nominative
2	Units	Mass and Weight	gram	narrow-other-nominative
2	Units	Energy and Power	kilowatt	narrow-one-nominative
2	Units	Energy and Power	kilowatt	narrow-other-nominative
2	Units	Energy and Power	watt	narrow-one-nominative
