#LCode	English Name	Script	Locale Level	Path Level	STStatus	Bailey	Section	Page	Header	Code	ST Link
az	Azerbaijani	Latin	modern	modern	n/a	Hamiş	Miscellaneous	Person Name Formats	SampleName Fields for Item: given12Surname	given2	http://st.unicode.org/cldr-apps/v#/az//770d0ce15736e667
az	Azerbaijani	Latin	modern	modern	n/a	Vatson	Miscellaneous	Person Name Formats	SampleName Fields for Item: given12Surname	surname	http://st.unicode.org/cldr-apps/v#/az//77605424cfeca4fd
az	Azerbaijani	Latin	modern	modern	n/a	∅∅∅	Miscellaneous	Person Name Formats	SampleName Fields for Item: full	prefix	http://st.unicode.org/cldr-apps/v#/az//2855fb6cc357a1cb
az	Azerbaijani	Latin	modern	modern	n/a	∅∅∅	Miscellaneous	Person Name Formats	SampleName Fields for Item: full	given	http://st.unicode.org/cldr-apps/v#/az//89e34f3fa481349
az	Azerbaijani	Latin	modern	modern	n/a	∅∅∅	Miscellaneous	Person Name Formats	SampleName Fields for Item: full	given-informal	http://st.unicode.org/cldr-apps/v#/az//45d268800aa9abfd
az	Azerbaijani	Latin	modern	modern	n/a	∅∅∅	Miscellaneous	Person Name Formats	SampleName Fields for Item: full	given2	http://st.unicode.org/cldr-apps/v#/az//779f9dbc0c101041
az	Azerbaijani	Latin	modern	modern	n/a	Volf	Miscellaneous	Person Name Formats	SampleName Fields for Item: full	surname-core	http://st.unicode.org/cldr-apps/v#/az//3026ac42b7fd91fe
az	Azerbaijani	Latin	modern	modern	n/a	Becker Schmidt	Miscellaneous	Person Name Formats	SampleName Fields for Item: full	surname2	http://st.unicode.org/cldr-apps/v#/az//3dba7ea9997eac3d
bg	Bulgarian	Cyrillic	modern	modern	n/a	дъг. сек.	Units	Other Units	arc-second	narrow-displayName	http://st.unicode.org/cldr-apps/v#/bg//73c4841fa15ecf40
bgc	Haryanvi	Devanagari	basic	basic	n/a	IN	Locale Display Names	Territories (Asia)	Southern Asia	IN	http://st.unicode.org/cldr-apps/v#/bgc//290bb853841dbc53
bho	Bhojpuri	Devanagari	basic	basic	n/a	IN	Locale Display Names	Territories (Asia)	Southern Asia	IN	http://st.unicode.org/cldr-apps/v#/bho//290bb853841dbc53
br	Breton	Latin	moderate	moderate	n/a	{1}, {0}	Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	medium-atTime	http://st.unicode.org/cldr-apps/v#/br//2c0d283f4538da0e
br	Breton	Latin	moderate	moderate	n/a	{1} {0}	Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	short-atTime	http://st.unicode.org/cldr-apps/v#/br//307554bf43a9b71c
br	Breton	Latin	moderate	moderate	n/a	GGGGG y-MM-dd	Date & Time	Generic	Formats - Flexible - Date Formats	GyMd	http://st.unicode.org/cldr-apps/v#/br//2460eb0ab964182f
br	Breton	Latin	moderate	moderate	n/a	GGGGG y-MM-dd	Date & Time	Gregorian	Formats - Flexible - Date Formats	GyMd	http://st.unicode.org/cldr-apps/v#/br//720b48090ba506b2
br	Breton	Latin	moderate	moderate	n/a	null	Timezones	North America	Yukon	standard-long	http://st.unicode.org/cldr-apps/v#/br//5a474fd785a80c35
br	Breton	Latin	moderate	moderate	n/a	#,##0.00	Numbers	Number Formatting Patterns	Standard Patterns 	accounting-currency-noCurrency	http://st.unicode.org/cldr-apps/v#/br//5666b8876422ed2e
ff	Fulah	Latin	moderate	basic	n/a	{0} ({1})	Locale Display Names	Locale Name Patterns	Locale Formatting	localePattern	http://st.unicode.org/cldr-apps/v#/ff//4c3249dbb329101c
