# Section	Page	Header	Code	Locale	Old	New	Level
#Section	Page	Header	Code	Locale	Old	New	Level
Currencies	Western Asia (C)	Western Asia: Qatar	QAR-name-one	en	Qatari rial	Qatari riyal	moderate
Currencies	Western Asia (C)	Western Asia: Qatar	QAR-name-other	en	Qatari rials	Qatari riyals	moderate
Currencies	Western Asia (C)	Western Asia: Qatar	QAR-name	en	Qatari Rial	Qatari Riyal	moderate
Miscellaneous	Person Name Formats	NameOrder for Locales	givenFirst	en	▷missing◁	und	modern
Miscellaneous	Person Name Formats	NameOrder for Locales	surnameFirst	en	▷missing◁	ja zh ko	modern
Miscellaneous	Person Name Formats	InitialPatterns	initial	en	▷missing◁	{0}.	modern
Miscellaneous	Person Name Formats	InitialPatterns	initialSequence	en	▷missing◁	{0} {1}	modern
Miscellaneous	Person Name Formats	SampleName Fields for Item: givenOnly	given	en	▷missing◁	Sinbad	modern
Miscellaneous	Person Name Formats	SampleName Fields for Item: givenSurnameOnly	given	en	▷missing◁	Irene	modern
Miscellaneous	Person Name Formats	SampleName Fields for Item: givenSurnameOnly	surname	en	▷missing◁	Adler	modern
Miscellaneous	Person Name Formats	SampleName Fields for Item: given12Surname	given	en	▷missing◁	John	modern
Miscellaneous	Person Name Formats	SampleName Fields for Item: given12Surname	given2	en	▷missing◁	Hamish	modern
Miscellaneous	Person Name Formats	SampleName Fields for Item: given12Surname	surname	en	▷missing◁	Watson	modern
Miscellaneous	Person Name Formats	SampleName Fields for Item: full	prefix	en	▷missing◁	Prof. Dr.	modern
Miscellaneous	Person Name Formats	SampleName Fields for Item: full	given	en	▷missing◁	Ada Cornelia	modern
Miscellaneous	Person Name Formats	SampleName Fields for Item: full	given-informal	en	▷missing◁	Neele	modern
Miscellaneous	Person Name Formats	SampleName Fields for Item: full	given2	en	▷missing◁	Eva Sophia	modern
Miscellaneous	Person Name Formats	SampleName Fields for Item: full	surname	en	▷missing◁	Meyer Wolf	modern
Miscellaneous	Person Name Formats	SampleName Fields for Item: full	surname2	en	▷missing◁	Becker Schmidt	modern
Miscellaneous	Person Name Formats	SampleName Fields for Item: full	suffix	en	▷missing◁	M.D. Ph.D.	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-referring	formal-givenFirst	en	▷missing◁	{given} {given2} {surname} {suffix}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-referring	formal-surnameFirst	en	▷missing◁	{surname} {given} {given2} {suffix}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-referring	formal-sorting	en	▷missing◁	{surname}, {given} {given2} {suffix}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-referring	informal-givenFirst	en	▷missing◁	{given-informal} {surname}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-referring	informal-surnameFirst	en	▷missing◁	{surname} {given-informal}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-referring	informal-sorting	en	▷missing◁	{surname}, {given-informal}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-addressing	formal-givenFirst	en	▷missing◁	{prefix} {surname}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-addressing	formal-surnameFirst	en	▷missing◁	{prefix} {surname}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-addressing	formal-sorting	en	▷missing◁	{surname}, {given} {given2} {suffix}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-addressing	informal-givenFirst	en	▷missing◁	{given-informal}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-addressing	informal-surnameFirst	en	▷missing◁	{given-informal}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-addressing	informal-sorting	en	▷missing◁	{surname}, {given-informal}	modern
