#Direct.	Language	English Name	Native Name	Script	Default Region	№ Locales	Target Level	≟	Computed Level	ICU	Confirmed	🄼%	ⓜ%	ⓑ%	ⓒ%	Missing Features
common	en	English	English	Latn	US	107	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
common	hi_Latn	Hindi (Latin)	Hindi (Latin)	Latn	IN	1	modern	 ≡	modern	ICU	0.9968568665377177	0.9973522458628842	0.9991315675206253	1.0	1.0	
common	nn	Norwegian Nynorsk	norsk nynorsk	Latn	NO	1	modern	 ≡	modern	ICU	0.999764899494534	0.9994405072734055	0.9990970654627539	1.0	1.0	ⓜ ordinals
common	sc	Sardinian	sardu	Latn	IT	1	moderate	 ≡	moderate	ICU	0.9998449612403101	0.843206256109482	0.9972514887769125	1.0	1.0	ⓜ collation
common	ceb	Cebuano	Binisaya	Latn	PH	1	moderate	 ≡	moderate	ICU	0.9994044073853484	0.5687506437326192	0.9967786470317533	1.0	1.0	ⓜ ordinals
common	br	Breton	brezhoneg	Latn	FR	1	moderate	 ≡	moderate	ICU	0.9934429753842846	0.8959228276433793	0.9966101694915255	1.0	1.0	ⓜ ordinals
common	fi	Finnish	suomi	Latn	FI	1	modern	 ≠	moderate	ICU	0.9998875772906127	0.9851747264384045	0.9986801583809943	1.0	1.0	
common	ar	Arabic	‫العربية‬	Arab	EG	28	modern	 ≠	moderate	ICU	0.9989758470598276	0.9872229986025155	0.9984051036682615	1.0	1.0	
common	he	Hebrew	‫עברית‬	Hebr	IL	1	modern	 ≠	moderate	ICU	0.9951923076923077	0.9830191618632186	0.9981405727036073	1.0	1.0	
common	uk	Ukrainian	українська	Cyrl	UA	1	modern	 ≠	moderate	ICU	0.9992553983618764	0.9862301721228485	0.9980299448384555	1.0	1.0	
common	hr	Croatian	hrvatski	Latn	HR	2	modern	 ≠	moderate	ICU	0.9998997393222379	0.9853281237540866	0.9979070740895772	1.0	1.0	
common	cy	Welsh	Cymraeg	Latn	GB	1	modern	 ≠	moderate	ICU	0.9933868265585045	0.9808948172849798	0.9979013641133263	1.0	1.0	
common	bs	Bosnian	bosanski	Latn	BA	1	modern	 ≠	moderate	ICU	0.9998782566350134	0.9841948679806619	0.9978973927670312	1.0	1.0	
common	fr	French	français	Latn	FR	46	modern	 ≠	moderate	ICU	0.9991504854368932	0.9841299303944315	0.997895622895623	1.0	1.0	
common	ca	Catalan	català	Latn	ES	4	modern	 ≠	moderate	ICU	0.9998767258382643	0.9839673655250925	0.997793468667255	1.0	1.0	
common	de	German	Deutsch	Latn	DE	7	modern	 ≠	moderate	ICU	0.9996695307336417	0.9849381856172732	0.9977708426214891	1.0	1.0	
common	gl	Galician	galego	Latn	ES	1	modern	 ≠	moderate	ICU	0.9973588227895862	0.9794679005205321	0.9977638640429338	1.0	1.0	
common	nl	Dutch	Nederlands	Latn	NL	7	modern	 ≠	moderate	ICU	1.0	0.9892380952380952	0.9977528089887641	1.0	1.0	
common	is	Icelandic	íslenska	Latn	IS	1	modern	 ≠	moderate	ICU	0.9989731888191672	0.9828837709472175	0.997744700045106	1.0	1.0	
common	no	Norwegian	norsk	Latn	NO	0	modern	 ≠	moderate	ICU	1.0	0.9842585692995529	0.9977426636568849	1.0	1.0	
common	be	Belarusian	беларуская	Cyrl	BY	1	modern	 ≠	moderate	ICU	0.9998952550539436	0.9834204508330611	0.9976009596161536	1.0	1.0	
common	hi	Hindi	हिन्दी	Deva	IN	1	modern	 ≠	moderate	ICU	0.9951860983914523	0.9801637852593267	0.9973935708079931	1.0	1.0	
common	mk	Macedonian	македонски	Cyrl	MK	1	modern	 ≠	moderate	ICU	0.9998740236835475	0.9829688407199535	0.997305792546026	1.0	1.0	
common	fil	Filipino	Filipino	Latn	PH	1	modern	 ≠	moderate	ICU	0.9966360460602924	0.9789774970390841	0.9972997299729973	1.0	1.0	
common	ro	Romanian	română	Latn	RO	2	modern	 ≠	moderate	ICU	0.9998920436143798	0.9841135710664188	0.9970723546633208	1.0	1.0	
