#Direct.	Language	English Name	Native Name	Script	Default Region	№ Locales	Target Level	≟	Computed Level	ICU	Confirmed	🄼%	ⓜ%	ⓑ%	ⓒ%	Missing Features
common	lv	Latvian	latviešu	Latn	LV	1	modern	 ≠	moderate	ICU	0.9999024485416057	0.9843348141220482	0.9970674486803519	1.0	1.0	
common	it	Italian	italiano	Latn	IT	4	modern	 ≠	moderate	ICU	0.9998768321221825	0.9837297811607992	0.9968581687612208	1.0	1.0	
common	da	Danish	dansk	Latn	DK	2	modern	 ≠	moderate	ICU	0.9998801821231728	0.9837072898240388	0.9968581687612208	1.0	1.0	
common	et	Estonian	eesti	Latn	EE	1	modern	 ≠	moderate	ICU	0.9998741505159828	0.9833575229801645	0.9968539325842697	1.0	1.0	
common	vi	Vietnamese	Tiếng Việt	Latn	VN	1	modern	 ≠	moderate	ICU	0.9997252747252747	0.9819962097283639	0.9965953307392996	1.0	1.0	
common	mr	Marathi	मराठी	Deva	IN	1	modern	 ≠	moderate	ICU	0.9971113174455792	0.9821208890346921	0.996548748921484	1.0	1.0	
common	pl	Polish	polski	Latn	PL	1	modern	 ≠	moderate	ICU	0.9998379910895099	0.9872151563328034	0.9964966913195796	1.0	1.0	
common	lt	Lithuanian	lietuvių	Latn	LT	1	modern	 ≠	moderate	ICU	0.9998336936637285	0.9863365800865801	0.9964939618231399	1.0	1.0	
common	cs	Czech	čeština	Latn	CZ	1	modern	 ≠	moderate	ICU	0.9999173553719009	0.9864018848872433	0.9964884900507218	1.0	1.0	
common	sk	Slovak	slovenčina	Latn	SK	1	modern	 ≠	moderate	ICU	0.9999172459450513	0.9854545454545455	0.996484375	1.0	1.0	
common	sl	Slovenian	slovenščina	Latn	SI	1	modern	 ≠	moderate	ICU	0.9999171430938769	0.9859649122807017	0.9964747356051704	1.0	1.0	
common	ru	Russian	русский	Cyrl	RU	6	modern	 ≠	moderate	ICU	0.9999261447562777	0.9876490106919011	0.9964608729846638	1.0	1.0	
common	hsb	Upper Sorbian	hornjoserbšćina	Latn	DE	1	modern	 ≠	moderate	ICU	0.9998909130577069	0.9731308411214953	0.9964071856287425	1.0	1.0	
common	af	Afrikaans	Afrikaans	Latn	ZA	2	modern	 ≠	moderate	ICU	0.9962216624685138	0.9781389050106404	0.9963800904977376	1.0	1.0	
common	chr	Cherokee	ᏣᎳᎩ	Cher	US	1	modern	 ≠	moderate	ICU	0.996705524581855	0.9779204357552768	0.9963570127504554	1.0	1.0	ⓜ ordinals
common	dsb	Lower Sorbian	dolnoserbšćina	Latn	DE	1	modern	 ≠	moderate	ICU	0.9998898435778806	0.9727257326782992	0.9962748344370861	1.0	1.0	
common	ga	Irish	Gaeilge	Latn	IE	2	modern	 ≠	moderate	ICU	0.9940298507462687	0.9750018767359808	0.9962616822429906	1.0	1.0	
common	id	Indonesian	Indonesia	Latn	ID	1	modern	 ≠	moderate	ICU	0.997927604310583	0.9807994963802329	0.9962494139709329	1.0	1.0	
common	pt	Portuguese	português	Latn	BR	12	modern	 ≠	moderate	ICU	0.9998779594825482	0.9829715568862275	0.9961240310077519	1.0	1.0	
common	km	Khmer	ខ្មែរ	Khmr	KH	1	modern	 ≠	moderate	ICU	0.9975066001760047	0.976061776061776	0.9961070559610705	1.0	1.0	
common	es	Spanish	español	Latn	ES	28	modern	 ≠	moderate	ICU	0.9976675669040019	0.9810252053242707	0.996042216358839	1.0	1.0	
common	hu	Hungarian	magyar	Latn	HU	1	modern	 ≠	moderate	ICU	0.9998870311793945	0.9832268370607029	0.9959767545820295	1.0	1.0	
common	sv	Swedish	svenska	Latn	SE	3	modern	 ≠	moderate	ICU	0.9998802251766679	0.983714870649544	0.9959677419354839	1.0	1.0	
common	sw	Swahili	Kiswahili	Latn	TZ	4	modern	 ≠	moderate	ICU	0.9997336529497935	0.9794458438287154	0.9959514170040485	1.0	1.0	
common	el	Greek	Ελληνικά	Grek	GR	2	modern	 ≠	moderate	ICU	0.9998827941865917	0.9829763866007688	0.9959422903516681	1.0	1.0	
common	hy	Armenian	հայերեն	Armn	AM	1	modern	 ≠	moderate	ICU	0.9995443153337891	0.9808877377869072	0.9959422903516681	1.0	1.0	
common	tr	Turkish	Türkçe	Latn	TR	2	modern	 ≠	moderate	ICU	0.9997524446094813	0.9833364893012687	0.9956877964639931	1.0	1.0	
common	az	Azerbaijani	azərbaycan	Latn	AZ	1	modern	 ≠	moderate	ICU	0.9998754359740907	0.9817490494296578	0.9956728688879273	1.0	1.0	
common	am	Amharic	አማርኛ	Ethi	ET	1	modern	 ≠	moderate	ICU	0.9964899540062939	0.979261601413559	0.9956653662765497	1.0	1.0	
common	kn	Kannada	ಕನ್ನಡ	Knda	IN	1	modern	 ≠	moderate	ICU	0.9967259631125177	0.9811012799587664	0.9956483899042646	1.0	1.0	
common	te	Telugu	తెలుగు	Telu	IN	1	modern	 ≠	moderate	ICU	0.9965243296921549	0.9801406309388065	0.9956464954288202	1.0	1.0	
common	ig	Igbo	Igbo	Latn	NG	1	modern	 ≠	moderate	ICU	0.9975932611311673	0.8785529715762274	0.9955577492596249	1.0	1.0	ⓜ ordinals
common	bg	Bulgarian	български	Cyrl	BG	1	modern	 ≠	moderate	ICU	0.9993340436867342	0.9801770980076474	0.9955516014234875	1.0	1.0	
common	eu	Basque	euskara	Latn	ES	1	modern	 ≠	moderate	ICU	0.9953482524515966	0.9789737654320988	0.9955416852429781	1.0	1.0	ⓜ collation
common	ka	Georgian	ქართული	Geor	GE	1	modern	 ≠	moderate	ICU	0.9986614910989158	0.9800324346239611	0.9954914337240758	1.0	1.0	
common	ky	Kyrgyz	кыргызча	Cyrl	KG	1	modern	 ≠	moderate	ICU	0.9998733856672576	0.9799224054316198	0.9954873646209387	1.0	1.0	
common	kk	Kazakh	қазақ тілі	Cyrl	KZ	1	modern	 ≠	moderate	ICU	0.9997314715359829	0.9790039557764479	0.9954873646209387	1.0	1.0	
common	zu	Zulu	isiZulu	Latn	ZA	1	modern	 ≠	moderate	ICU	0.9967536859191126	0.9682443365695793	0.9954853273137697	1.0	1.0	
common	mn	Mongolian	монгол	Cyrl	MN	1	modern	 ≠	moderate	ICU	0.9978497343789527	0.9782861574253586	0.9954812471757795	1.0	1.0	
common	ms	Malay	Melayu	Latn	MY	4	modern	 ≠	moderate	ICU	0.998076394613905	0.9780901198842497	0.995475113122172	1.0	1.0	
common	fa	Persian	‫فارسی‬	Arab	IR	2	modern	 ≠	moderate	ICU	1.0	0.9819609309281241	0.9953897736797989	1.0	1.0	
common	gu	Gujarati	ગુજરાતી	Gujr	IN	1	modern	 ≠	moderate	ICU	0.9965500246426812	0.9799811142587347	0.9952194697957409	1.0	1.0	
common	gd	Scottish Gaelic	Gàidhlig	Latn	GB	1	modern	 ≠	moderate	ICU	0.9948089700996677	0.9811504712382191	0.9952114924181963	1.0	1.0	ⓜ collation
common	si	Sinhala	සිංහල	Sinh	LK	1	modern	 ≠	moderate	ICU	0.9967233774417139	0.9775074814171252	0.9950628366247756	1.0	1.0	
common	kok	Konkani	कोंकणी	Deva	IN	1	basic	 ≡	basic	ICU	0.9978644646924829	0.960153419987215	0.9579148732663797	1.0	1.0	
common	brx	Bodo	बर’	Deva	IN	1	basic	 ≡	basic	ICU	0.9800210304942166	0.35630997833040967	0.7122366651725683	1.0	1.0	
common	ks	Kashmiri	‫کٲشُر‬	Arab	IN	1	basic	 ≡	basic	ICU	0.9787573021773766	0.35128733264675593	0.7003126395712371	1.0	1.0	
common	sa	Sanskrit	संस्कृत भाषा	Deva	IN	1	basic	 ≡	basic	ICU	0.9496981891348089	0.11359026369168357	0.26044703595724006	1.0	1.0	
common	doi	Dogri	डोगरी	Deva	IN	1	basic	 ≡	basic	ICU	1.0	0.10662258497778695	0.2436936936936937	1.0	1.0	
common	ks_Deva	Kashmiri (Devanagari)	कॉशुर (देवनागरी)	Deva	IN	1	basic	 ≡	basic	ICU	1.0	0.09453910901252309	0.22084257206208427	1.0	1.0	
common	mai	Maithili	मैथिली	Deva	IN	1	basic	 ≡	basic	ICU	1.0	0.09422903516681695	0.2196307094266278	1.0	1.0	
common	mni	Manipuri	মৈতৈলোন্	Beng	IN	1	basic	 ≡	basic	ICU	1.0	0.09383468834688347	0.21902439024390244	1.0	1.0	
common	sat	Santali	ᱥᱟᱱᱛᱟᱲᱤ	Olck	IN	1	basic	 ≡	basic	ICU	0.5297845373891001	0.08639740903029149	0.20409015025041735	1.0	1.0	
common	zh_Hant	Traditional Chinese	繁體中文	Hant	TW	0	modern	 ≠	basic	ICU	0.999730312837109	0.9819838263895998	0.9949771689497717	1.0	1.0	
common	zh	Chinese	中文	Hans	CN	4	modern	 ≠	basic	ICU	0.9995953055443141	0.9818666120274562	0.9949656750572082	1.0	1.0	
common	pcm	Nigerian Pidgin	Naijíriá Píjin	Latn	NG	1	modern	 ≠	basic	ICU	0.9966395243634484	0.9635299853729888	0.994956441999083	1.0	1.0	
common	ko	Korean	한국어	Kore	KR	2	modern	 ≠	basic	ICU	0.9981275912799251	0.9806063080534858	0.9948955916473318	1.0	1.0	
common	ps	Pashto	‫پښتو‬	Arab	AF	2	modern	 ≠	basic	ICU	0.9992157887857797	0.9788131436978911	0.9948849104859335	1.0	1.0	
common	ml	Malayalam	മലയാളം	Mlym	IN	1	modern	 ≠	basic	ICU	0.9968141995676414	0.9815635525616025	0.9948387096774194	1.0	1.0	
common	th	Thai	ไทย	Thai	TH	1	modern	 ≠	basic	ICU	0.9980536632837481	0.9798941798941799	0.9947418738049714	1.0	1.0	
common	my	Burmese	မြန်မာ	Mymr	MM	1	modern	 ≠	basic	ICU	0.9997106062798438	0.9775378911787155	0.9946782776971457	1.0	1.0	
common	lo	Lao	ລາວ	Laoo	LA	1	modern	 ≠	basic	ICU	0.9976855200347172	0.9781229490264712	0.9946498054474708	1.0	1.0	
common	yo	Yoruba	Èdè Yorùbá	Latn	NG	2	modern	 ≠	basic	ICU	0.9953413366780147	0.8499101930848675	0.994573260976813	1.0	1.0	
common	bn	Bangla	বাংলা	Beng	BD	2	modern	 ≠	basic	ICU	0.9965740854031567	0.9802496739332961	0.9945606694560669	1.0	1.0	
common	fo	Faroese	føroyskt	Latn	FO	2	moderate	 ≠	basic	ICU	0.9978711325574794	0.9416513386470468	0.994535519125683	1.0	1.0	
common	yue	Cantonese	粵語	Hant	HK	1	modern	 ≠	basic	ICU	0.9997222993612885	0.9808923884514436	0.9944315545243619	1.0	1.0	
common	ja	Japanese	日本語	Jpan	JP	1	modern	 ≠	basic	ICU	0.9979599642993753	0.9813905157755526	0.9941792782305006	1.0	1.0	
common	qu	Quechua	Runasimi	Latn	PE	3	moderate	 ≠	basic	ICU	0.9998367346938776	0.9161406672678089	0.9940476190476191	1.0	1.0	
common	pa	Punjabi	ਪੰਜਾਬੀ	Guru	IN	1	modern	 ≠	basic	ICU	0.9995252225519288	0.9780757383583982	0.9933082392304475	1.0	1.0	
common	kgp	Kaingang	kanhgág	Latn	BR	1	moderate	 ≠	basic	ICU	0.9997698504027618	0.6650756575606783	0.9923492349234924	1.0	1.0	
common	yrl	Nheengatu	nheẽgatu	Latn	BR	3	moderate	 ≠	basic	ICU	0.999769532150265	0.6647692620451311	0.9923388913925192	1.0	1.0	
common	ff_Adlm	Fulah (Adlam)	‫𞤆𞤵𞤤𞤢𞤪 (𞤀𞤁𞤂𞤢𞤃)‬	Adlm	GN	12	moderate	 ≠	basic	ICU	1.0	0.6150970088924818	0.9916630100921456	1.0	1.0	
common	ur	Urdu	‫اردو‬	Arab	PK	2	modern	 ≠	basic	ICU	0.9992695398100804	0.9763160329355167	0.9844668345927792	1.0	1.0	
common	ast	Asturian	asturianu	Latn	ES	1	moderate	 ≠	basic	ICU	0.9981251464729318	0.6371787208607292	0.9789280806229959	1.0	1.0	
common	ta	Tamil	தமிழ்	Taml	IN	4	modern	 ≠	basic	ICU	0.9994330422950448	0.9720515704767674	0.9754131398629585	1.0	1.0	
common	yue_Hans	Cantonese (Simplified)	粤语 (简体)	Hans	CN	0	modern	 ≠	basic	ICU	0.9997059688326962	0.9707199825193925	0.9752104770813844	1.0	1.0	
common	so	Somali	Soomaali	Latn	SO	4	modern	 ≠	basic	ICU	0.9963360707517372	0.957540952739597	0.973998294970162	1.0	1.0	
common	bs_Cyrl	Bosnian (Cyrillic)	босански (ћирилица)	Cyrl	BA	1		 ≠	basic	ICU	1.0	0.5720274390243902	0.9735269000853971	1.0	1.0	
common	sr	Serbian	српски	Cyrl	RS	4	modern	 ≠	basic	ICU	0.9974977479731758	0.9721457235030293	0.9699553390174583	1.0	1.0	
common	ne	Nepali	नेपाली	Deva	NP	2	modern	 ≠	basic	ICU	0.9997332977730364	0.9690393230462917	0.9696575639358475	1.0	1.0	
common	sq	Albanian	shqip	Latn	AL	3	modern	 ≠	basic	ICU	0.9926739926739927	0.9591817316841104	0.9644097222222222	1.0	1.0	
common	uz	Uzbek	o‘zbek	Latn	UZ	1	modern	 ≠	basic	ICU	0.9994722258873202	0.9650014664190047	0.9643007139857203	1.0	1.0	
common	or	Odia	ଓଡ଼ିଆ	Orya	IN	1	modern	 ≠	basic	ICU	0.9962335216572504	0.9634354595680562	0.9634038800705468	1.0	1.0	
common	as	Assamese	অসমীয়া	Beng	IN	1	modern	 ≠	basic	ICU	0.9997422680412371	0.9655004859086491	0.9628482972136223	1.0	1.0	
common	ha	Hausa	Hausa	Latn	NG	3	modern	 ≠	basic	ICU	0.9980582524271845	0.9468747008710635	0.9612334801762115	1.0	1.0	
common	tk	Turkmen	türkmen dili	Latn	TM	1	modern	 ≠	basic	ICU	0.9998729028978139	0.961987744159326	0.9611992945326279	1.0	1.0	
common	sd	Sindhi	‫سنڌي‬	Arab	PK	1	modern	 ≠	basic	ICU	0.9966129250779028	0.9519040063466878	0.9605995717344754	1.0	1.0	
common	jv	Javanese	Jawa	Latn	ID	1	modern	 ≠	basic	ICU	0.9980188966778422	0.9398768960211036	0.9565217391304348	1.0	1.0	
common	to	Tongan	lea fakatonga	Latn	TO	1		 ≠	basic	ICU	0.9924545051043053	0.9119714502000649	0.8510113468179575	1.0	1.0	
common	rm	Romansh	rumantsch	Latn	CH	1		 ≠	basic	ICU	0.9854945054945055	0.4205933682373473	0.8323878287777204	1.0	1.0	
common	ia	Interlingua	interlingua	Latn	001	1		 ≠	basic	ICU	0.9997509339975094	0.57987735162665	0.8038007190549563	1.0	1.0	
common	kea	Kabuverdianu	kabuverdianu	Latn	CV	1		 ≠	basic	ICU	0.9944576405384006	0.4598982311606494	0.7508771929824561	1.0	1.0	
common	uz_Cyrl	Uzbek (Cyrillic)	ўзбекча (Кирил)	Cyrl	UZ	1		 ≠	basic	ICU	0.9382716049382716	0.32893038037540967	0.5680272108843537	1.0	1.0	
common	wo	Wolof	Wolof	Latn	SN	1		 ≠	basic	ICU	0.9997057958223007	0.542788217369223	0.5625400898011546	1.0	1.0	
common	tg	Tajik	тоҷикӣ	Cyrl	TJ	1		 ≠	basic	ICU	0.9988694177501414	0.5039290525370453	0.4626937984496124	1.0	1.0	
common	tt	Tatar	татар	Cyrl	RU	1		 ≠	basic	ICU	0.9990974729241877	0.22620958495757854	0.43693239152371344	1.0	1.0	
common	mi	Māori	te reo Māori	Latn	NZ	1	modern	 ≠	basic	ICU	0.9996429846483399	0.42200452147701584	0.3495630461922597	1.0	1.0	
common	ti	Tigrinya	ትግርኛ	Ethi	ET	2		 ≡		ICU	0.9936507936507937	0.5591440855914409	0.6570319240724762	0.9868421052631579	1.0	
common	ug	Uyghur	‫ئۇيغۇرچە‬	Arab	CN	1		 ≡		ICU	0.97089835512442	0.6333843797856049	0.720396217919856	0.9866666666666667	1.0	
common	ccp	Chakma	𑄌𑄋𑄴𑄟𑄳𑄦	Cakm	BD	2		 ≡		ICU	0.9028718188185851	0.6045787729691736	0.9181585677749361	0.9736842105263158	1.0	
common	lb	Luxembourgish	Lëtzebuergesch	Latn	LU	1		 ≡		ICU	0.9952830188679245	0.7895890410958905	0.9317073170731708	0.9733333333333334	1.0	
common	fy	Western Frisian	Frysk	Latn	NL	1		 ≡		ICU	0.9820336391437309	0.47411985432071513	0.9294940796555436	0.9733333333333334	1.0	
common	mt	Maltese	Malti	Latn	MT	1		 ≡		ICU	0.9695930498399634	0.46056703186417997	0.4854294478527607	0.9733333333333334	1.0	
common	ee	Ewe	Eʋegbe	Latn	GH	2		 ≡		ICU	0.9454760964045832	0.45980940542780196	0.9385321100917431	0.972972972972973	1.0	
common	ksh	Colognian	Kölsch	Latn	DE	1		 ≡		ICU	0.9671805072103431	0.3098820658804392	0.5542713567839196	0.9466666666666667	1.0	
common	dz	Dzongkha	རྫོང་ཁ	Tibt	BT	1		 ≡		ICU	0.892882818116463	0.26743391066545125	0.5525	0.9466666666666667	1.0	
common	se	Northern Sami	davvisámegiella	Latn	NO	3		 ≡		ICU	0.8309692671394799	0.22304147465437787	0.4041884816753927	0.922077922077922	1.0	
common	os	Ossetic	ирон	Cyrl	GE	2		 ≡		ICU	0.944558521560575	0.09478871762608787	0.20631970260223048	0.92	1.0	
common	sah	Sakha	саха тыла	Cyrl	RU	1		 ≡		ICU	0.943952802359882	0.17712135036496351	0.2979899497487437	0.8933333333333333	1.0	
common	gsw	Swiss German	Schwiizertüütsch	Latn	CH	3		 ≡		ICU	0.8143863179074446	0.3156671830050896	0.6645126548196015	0.84	1.0	
common	pis	Pijin	Pijin	Latn	SB	1		 ≡			1.0	0.022912423625254582	0.07811491284699806	0.84	1.0	
common	fur	Friulian	furlan	Latn	IT	1		 ≡		ICU	0.9760479041916168	0.20679366536607757	0.4722063037249284	0.8356164383561644	1.0	
common	smn	Inari Sami	anarâškielâ	Latn	FI	1		 ≡		ICU	0.9658671586715867	0.18717705367499737	0.3860021208907741	0.821917808219178	1.0	
seed	syr	Syriac	‫ܣܘܪܝܝܐ‬	Syrc	IQ	2		 ≡			0.7671232876712328	0.09982249138561136	0.23377818683847215	0.8133333333333334	1.0	
common	ce	Chechen	нохчийн	Cyrl	RU	1		 ≡		ICU	0.9996114996114996	0.4582331416623105	0.8446103593093793	0.7945205479452054	1.0	
common	rw	Kinyarwanda	Kinyarwanda	Latn	RW	1		 ≡		ICU	0.9951869677897075	0.3904144419018561	0.24661944623309723	0.7945205479452054	1.0	
seed	en_Dsrt	English (Deseret)	𐐀𐑍𐑊𐐮𐑇 (𐐔𐐯𐑆𐐲𐑉𐐯𐐻)	Dsrt	US	1		 ≡			1.0	0.1182514296791703	0.24313877077696172	0.7885714285714286	1.0	
common	lrc	Northern Luri	‫لۊری شومالی‬	Arab	IR	2		 ≡		ICU	1.0	0.09931733098436468	0.17356910190786412	0.7763157894736842	1.0	
common	mgo	Metaʼ	metaʼ	Latn	CM	1		 ≡		ICU	0.8823529411764706	0.06184377523941387	0.16327716443927948	0.7733333333333333	1.0	
common	sn	Shona	chiShona	Latn	ZW	1		 ≡		ICU	0.9297752808988764	0.15542791499138425	0.4008120649651972	0.7671232876712328	1.0	
common	mg	Malagasy	Malagasy	Latn	MG	1		 ≡		ICU	0.9288762446657184	0.1532193274417537	0.39467592592592593	0.7671232876712328	1.0	
common	zgh	Standard Moroccan Tamazight	ⵜⴰⵎⴰⵣⵉⵖⵜ	Tfng	MA	1		 ≡		ICU	0.9789156626506024	0.14882623834662473	0.3276699029126214	0.7671232876712328	1.0	
common	ii	Sichuan Yi	ꆈꌠꉙ	Yiii	CN	1		 ≡		ICU	0.9628482972136223	0.07608205590622182	0.17704280155642024	0.7671232876712328	1.0	
common	om	Oromo	Oromoo	Latn	ET	2		 ≡		ICU	0.8913043478260869	0.09161683402910978	0.2227146814404432	0.7631578947368421	1.0	
common	jgo	Ngomba	Ndaꞌa	Latn	CM	1		 ≡		ICU	0.9060773480662984	0.0779445727482679	0.2019790454016298	0.76	1.0	
common	ku	Kurdish	kurdî	Latn	TR	1		 ≡		ICU	0.9766606822262118	0.1997311526828722	0.38103070175438597	0.7532467532467533	1.0	
common	yi	Yiddish	‫ייִדיש‬	Hebr	001	1		 ≡		ICU	0.8438256658595642	0.13734039240112114	0.28428701180744775	0.7466666666666667	1.0	
common	haw	Hawaiian	ʻŌlelo Hawaiʻi	Latn	US	1		 ≡		ICU	0.8518518518518519	0.08710159935565527	0.22682215743440234	0.7397260273972602	1.0	
common	ckb	Central Kurdish	‫کوردیی ناوەندی‬	Arab	IQ	2		 ≡		ICU	0.8631840796019901	0.17635209990935644	0.30445969125214406	0.7142857142857143	1.0	
common	ln	Lingala	lingála	Latn	CD	4		 ≡		ICU	0.589588377723971	0.11507479861910241	0.2982558139534884	0.6973684210526315	1.0	
common	wae	Walser	Walser	Latn	CH	1		 ≡		ICU	0.973124300111982	0.18247340121267588	0.41414717626925274	0.684931506849315	1.0	
seed	st	Southern Sotho	Sesotho	Latn	ZA	2		 ≡			0.7666666666666667	0.0747026902205288	0.20303383897316218	0.684931506849315	1.0	
common	az_Cyrl	Azerbaijani (Cyrillic)	азәрбајҹан (Кирил)	Cyrl	AZ	1		 ≡		ICU	0.9731127197518097	0.16300235197872992	0.28855501546619533	0.6842105263157895	1.0	
common	ewo	Ewondo	ewondo	Latn	CM	1		 ≡		ICU	0.9754601226993865	0.12398373983739837	0.3200769724182168	0.6712328767123288	1.0	
common	mua	Mundang	MUNDAŊ	Latn	CM	1		 ≡		ICU	0.9482071713147411	0.12349435780398124	0.31902626521460603	0.6712328767123288	1.0	
common	bas	Basaa	Ɓàsàa	Latn	CM	1		 ≡		ICU	0.9753086419753086	0.12322154471544715	0.3181526619627967	0.6712328767123288	1.0	
common	agq	Aghem	Aghem	Latn	CM	1		 ≡		ICU	0.9752577319587629	0.12292063492063492	0.3171044202434337	0.6712328767123288	1.0	
common	sbp	Sangu	Ishisangu	Latn	TZ	1		 ≡		ICU	0.9748427672955975	0.12099644128113879	0.3133848133848134	0.6712328767123288	1.0	
common	rn	Rundi	Ikirundi	Latn	BI	1		 ≡		ICU	0.9743589743589743	0.11870869344178953	0.3075933075933076	0.6712328767123288	1.0	
common	twq	Tasawaq	Tasawaq senni	Latn	NE	1		 ≡		ICU	0.9754098360655737	0.12084367245657568	0.3047735618115055	0.6712328767123288	1.0	
common	dje	Zarma	Zarmaciine	Latn	NE	1		 ≡		ICU	0.9753593429158111	0.1205955334987593	0.30416156670746636	0.6712328767123288	1.0	
common	yav	Yangben	nuasue	Latn	CM	1		 ≡		ICU	0.9710467706013363	0.11356707317073171	0.2937780628608082	0.6712328767123288	1.0	
seed	tn	Tswana	Setswana	Latn	ZA	2		 ≡			0.968796992481203	0.3376053573490359	0.20245040840140024	0.6712328767123288	1.0	
seed	nso	Northern Sotho	Sesotho sa Leboa	Latn	ZA	1		 ≡			0.9980627663696242	0.3373744371319709	0.20186697782963828	0.6712328767123288	1.0	
seed	ts	Tsonga	Xitsonga	Latn	ZA	1		 ≡			0.9104938271604939	0.07366354924373629	0.2001166861143524	0.6712328767123288	1.0	
common	lu	Luba-Katanga	Tshiluba	Latn	CD	1		 ≡		ICU	0.9753086419753086	0.12341128622267412	0.31981981981981983	0.6575342465753424	1.0	
common	ksf	Bafia	rikpa	Latn	CM	1		 ≡		ICU	0.9747899159663865	0.120538549472882	0.3108974358974359	0.6575342465753424	1.0	
common	nmg	Kwasio	Kwasio	Latn	CM	1		 ≡		ICU	0.9726890756302521	0.12028451670265464	0.31025641025641026	0.6575342465753424	1.0	
common	nus	Nuer	Thok Nath	Latn	SS	1		 ≡		ICU	0.9071428571428571	0.06713197969543147	0.17696267696267695	0.6575342465753424	1.0	
common	dua	Duala	duálá	Latn	CM	1		 ≡		ICU	0.9302325581395349	0.04661501333672044	0.1326923076923077	0.6575342465753424	1.0	
