# Section	Page	Header	Code	Old	New
#Section	Page	Header	Code	Old	New
BCP47	u_Extension	nu-kawi	_deprecated	▷missing◁	false
BCP47	u_Extension	nu-kawi	_description	▷missing◁	Kawi digits
BCP47	u_Extension	nu-nagm	_deprecated	▷missing◁	false
BCP47	u_Extension	nu-nagm	_description	▷missing◁	Nag Mundari digits
#Section	Page	Header	Code	Old	New
Supplemental	Person Name Formats	NameOrder	givenFirst	▷missing◁	en und
Supplemental	Person Name Formats	NameOrder	surnameFirst	▷missing◁	hu ja ko vi yue zh
Supplemental	Alias	language	ajt-reason	▷missing◁	deprecated
Supplemental	Alias	language	ajt-replacement	▷missing◁	aeb
Supplemental	Alias	language	lak-reason	▷missing◁	deprecated
Supplemental	Alias	language	lak-replacement	▷missing◁	ksp
Supplemental	Alias	language	smd-reason	▷missing◁	deprecated
Supplemental	Alias	language	smd-replacement	▷missing◁	kmb
Supplemental	Alias	language	snb-reason	▷missing◁	deprecated
Supplemental	Alias	language	snb-replacement	▷missing◁	iba
Supplemental	IdValidity	language	deprecated	…	… • ajt~u • … • cug • … • lak • … • lno • … • pii • … • smd • snb • … • uun • … • wrd • wya • …
Supplemental	IdValidity	language	regular	…	… • ajs • … • bpc~e • … • cno~q • … • cuh~l • … • dsz • … • egl~m • … • goa~z • … • imr~t • … • laa~j • lal~n • … • lgk~o • … • lnl~n • … • lqr • … • lsa~e • … • lsv~w • … • nww~y • … • oie • … • phg~o • … • pia~h • pij • … • pzh • … • ria~b • … • rnb • … • rsk~n • … • sma~c • … • snc • … • tof~m • … • ugh • … • uon • … • uum • … • wdt~u • … • wyb • … • wym~n • … • xdq • … • xhm • … • zcd • …
Supplemental	IdValidity	unit	regular	…	… • duration-quarter • …
Supplemental	Locale	Parent	fr_HT	▷missing◁	ht
Supplemental	Locale	DefaultContent	plain	…	… • ann_NG • … • bgc_IN • … • bho_IN • … • frr_DE • … • mdf_RU • … • pis_SB • … • raj_IN • … • shn_MM • … • tok_001 • … • vec_IT • …
Supplemental	Units	Convert	quarter-baseUnit	▷missing◁	year
Supplemental	Units	Convert	quarter-factor	▷missing◁	1/4
Supplemental	Units	Convert	quarter-systems	▷missing◁	metric
Supplemental	Likely	Subtag	ann	…	ann_Latn_NG
Supplemental	Likely	Subtag	oc_ES	▷missing◁	oc_Latn_ES
Supplemental	Likely	Subtag	pis	▷missing◁	pis_Latn_SB
Supplemental	Likely	Subtag	tok	▷missing◁	tok_Latn_001
Supplemental	LanguageInfo	ES/oc	populationPercent	▷missing◁	0.01
Supplemental	LanguageInfo	NG/ann	populationPercent	▷missing◁	0.0015
Supplemental	LanguageInfo	PK/bal	populationPercent	…	2.6
Supplemental	LanguageInfo	PK/bft	populationPercent	…	0.204
Supplemental	LanguageInfo	PK/bgn	populationPercent	…	0.505
Supplemental	LanguageInfo	PK/brh	populationPercent	…	1.27
Supplemental	LanguageInfo	PK/gjk	populationPercent	…	0.063
Supplemental	LanguageInfo	PK/gju	populationPercent	…	0.188
Supplemental	LanguageInfo	PK/hnd	populationPercent	…	0.569
Supplemental	LanguageInfo	PK/hno	populationPercent	…	1.717
Supplemental	LanguageInfo	PK/khw	populationPercent	…	0.169
Supplemental	LanguageInfo	PK/ks	populationPercent	…	0.174
Supplemental	LanguageInfo	PK/kvx	populationPercent	…	0.172
Supplemental	LanguageInfo	PK/kxp	populationPercent	…	0.086
Supplemental	LanguageInfo	PK/mvy	populationPercent	…	0.096
Supplemental	LanguageInfo	PK/ps	populationPercent	…	15.8
Supplemental	LanguageInfo	PK/sd	populationPercent	…	14.9
Supplemental	LanguageInfo	PK/skr	populationPercent	…	12.46
Supplemental	LanguageInfo	PK/tg_Arab	populationPercent	0.33	▷removed◁
Supplemental	LanguageInfo	PK/trw	populationPercent	…	0.055
Supplemental	LanguageInfo	SB/pis	populationPercent	▷missing◁	82.33
Supplemental	NumberSystem	kawi	digits	▷missing◁	𑽐𑽑𑽒𑽓𑽔𑽕𑽖𑽗𑽘𑽙
Supplemental	NumberSystem	kawi	type	▷missing◁	numeric
Supplemental	NumberSystem	nagm	digits	▷missing◁	𞓰𞓱𞓲𞓳𞓴𞓵𞓶𞓷𞓸𞓹
Supplemental	NumberSystem	nagm	type	▷missing◁	numeric
Supplemental	Plural	cardinal-ca	many	▷missing◁	e = 0 and i != 0 and i % 1000000 = 0 and v = 0 or e != 0..5 @integer 1000000, 1c6, 2c6, 3c6, 4c6, 5c6, 6c6, … @decimal 1.0000001c6, 1.1c6, 2.0000001c6, 2.1c6, 3.0000001c6, 3.1c6, …
Supplemental	Plural	cardinal-ca	other	…	@integer 0, 2~16, 100, 1000, 10000, 100000, 1c3, 2c3, 3c3, 4c3, 5c3, 6c3, … @decimal 0.0~1.5, 10.0, 100.0, 1000.0, 10000.0, 100000.0, 1000000.0, 1.0001c3, 1.1c3, 2.0001c3, 2.1c3, 3.0001c3, 3.1c3, …
Supplemental	Plural	cardinal-mt	few	…	n = 0 or n % 100 = 3..10 @integer 0, 3~10, 103~109, 1003, … @decimal 0.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 103.0, 1003.0, …
Supplemental	Plural	cardinal-mt	two	▷missing◁	n = 2 @integer 2 @decimal 2.0, 2.00, 2.000, 2.0000
Supplemental	Plural	cardinal-vec	many	▷missing◁	e = 0 and i != 0 and i % 1000000 = 0 and v = 0 or e != 0..5 @integer 1000000, 1c6, 2c6, 3c6, 4c6, 5c6, 6c6, … @decimal 1.0000001c6, 1.1c6, 2.0000001c6, 2.1c6, 3.0000001c6, 3.1c6, …
Supplemental	Plural	cardinal-vec	one	▷missing◁	i = 1 and v = 0 @integer 1
Supplemental	Plural	cardinal-vec	other	▷missing◁	@integer 0, 2~16, 100, 1000, 10000, 100000, 1c3, 2c3, 3c3, 4c3, 5c3, 6c3, … @decimal 0.0~1.5, 10.0, 100.0, 1000.0, 10000.0, 100000.0, 1000000.0, 1.0001c3, 1.1c3, 2.0001c3, 2.1c3, 3.0001c3, 3.1c3, …
Supplemental	Plural	ordinal-ast	other	▷missing◁	@integer 0~15, 100, 1000, 10000, 100000, 1000000, …
Supplemental	Plural	ordinal-vec	many	▷missing◁	n = 11,8,80,800 @integer 8, 11, 80, 800
Supplemental	Plural	ordinal-vec	other	▷missing◁	@integer 0~7, 9, 10, 12~17, 100, 1000, 10000, 100000, 1000000, …
Supplemental	Calendar	Preference	AL	▷missing◁	gregorian
Supplemental	Calendar	Preference	AL	▷missing◁	islamic-civil
Supplemental	Calendar	Preference	AL	▷missing◁	islamic-tbla
Supplemental	Calendar	Preference	AZ	▷missing◁	gregorian
Supplemental	Calendar	Preference	AZ	▷missing◁	islamic-civil
Supplemental	Calendar	Preference	AZ	▷missing◁	islamic-tbla
Supplemental	Calendar	Preference	BD	▷missing◁	gregorian
Supplemental	Calendar	Preference	BD	▷missing◁	islamic
Supplemental	Calendar	Preference	BD	▷missing◁	islamic-civil
Supplemental	Calendar	Preference	BD	▷missing◁	islamic-tbla
Supplemental	Calendar	Preference	ID	▷missing◁	gregorian
Supplemental	Calendar	Preference	ID	▷missing◁	islamic
Supplemental	Calendar	Preference	ID	▷missing◁	islamic-civil
Supplemental	Calendar	Preference	ID	▷missing◁	islamic-tbla
Supplemental	Calendar	Preference	MV	▷missing◁	gregorian
Supplemental	Calendar	Preference	MV	▷missing◁	islamic-civil
Supplemental	Calendar	Preference	MV	▷missing◁	islamic-tbla
Supplemental	Calendar	Preference	MY	▷missing◁	gregorian
Supplemental	Calendar	Preference	MY	▷missing◁	islamic
Supplemental	Calendar	Preference	MY	▷missing◁	islamic-civil
Supplemental	Calendar	Preference	MY	▷missing◁	islamic-tbla
Supplemental	Calendar	Preference	NE	▷missing◁	gregorian
Supplemental	Calendar	Preference	NE	▷missing◁	islamic
Supplemental	Calendar	Preference	NE	▷missing◁	islamic-civil
Supplemental	Calendar	Preference	NE	▷missing◁	islamic-tbla
Supplemental	Calendar	Preference	PK	▷missing◁	gregorian
Supplemental	Calendar	Preference	PK	▷missing◁	islamic
Supplemental	Calendar	Preference	PK	▷missing◁	islamic-civil
Supplemental	Calendar	Preference	PK	▷missing◁	islamic-tbla
Supplemental	Calendar	Preference	TJ	▷missing◁	gregorian
Supplemental	Calendar	Preference	TJ	▷missing◁	islamic-civil
Supplemental	Calendar	Preference	TJ	▷missing◁	islamic-tbla
Supplemental	Calendar	Preference	TM	▷missing◁	gregorian
Supplemental	Calendar	Preference	TM	▷missing◁	islamic-civil
Supplemental	Calendar	Preference	TM	▷missing◁	islamic-tbla
Supplemental	Calendar	Preference	TR	▷missing◁	gregorian
Supplemental	Calendar	Preference	TR	▷missing◁	islamic-civil
Supplemental	Calendar	Preference	TR	▷missing◁	islamic-tbla
Supplemental	Calendar	Preference	UZ	▷missing◁	gregorian
Supplemental	Calendar	Preference	UZ	▷missing◁	islamic-civil
Supplemental	Calendar	Preference	UZ	▷missing◁	islamic-tbla
Supplemental	Calendar	Preference	XK	▷missing◁	gregorian
Supplemental	Calendar	Preference	XK	▷missing◁	islamic-civil
Supplemental	Calendar	Preference	XK	▷missing◁	islamic-tbla
Supplemental	Language	ann	scripts	▷missing◁	Latn
Supplemental	Language	ann	territories	▷missing◁	NG
Supplemental	Language	frr	territories	▷missing◁	DE
Supplemental	Language	oc	territories-secondary	…	ES • …
Supplemental	Language	pis	scripts	▷missing◁	Latn
Supplemental	Language	pis	territories	▷missing◁	SB
Supplemental	Language	sms	territories	▷missing◁	FI
Supplemental	Language	tok	scripts	▷missing◁	Latn
Supplemental	Language	vec	territories-secondary	▷missing◁	BR
Supplemental	Language	vec	territories-secondary	▷missing◁	HR
Supplemental	Language	vec	territories-secondary	▷missing◁	IT
Supplemental	Language	vec	territories-secondary	▷missing◁	MX
Supplemental	Language	vec	territories-secondary	▷missing◁	SI
Supplemental	DayPeriod	hi_Latn	afternoon1-before	▷missing◁	16:00
Supplemental	DayPeriod	hi_Latn	afternoon1-from	▷missing◁	12:00
