# Count	Section	Page	Subhead	Code

45	Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber
40	Numbers	Compact Decimal Formatting	Short Currency 	12-digits-short-other-alphaNextToNumber
40	Numbers	Compact Decimal Formatting	Short Currency 	15-digits-short-other-alphaNextToNumber
40	Numbers	Compact Decimal Formatting	Short Currency 	13-digits-short-other-alphaNextToNumber
39	Numbers	Compact Decimal Formatting	Short Currency 	9-digits-short-other-alphaNextToNumber
39	Numbers	Compact Decimal Formatting	Short Currency 	10-digits-short-other-alphaNextToNumber
39	Numbers	Compact Decimal Formatting	Short Currency 	14-digits-short-other-alphaNextToNumber
38	Numbers	Compact Decimal Formatting	Short Currency 	7-digits-short-other-alphaNextToNumber
38	Numbers	Compact Decimal Formatting	Short Currency 	11-digits-short-other-alphaNextToNumber
37	Numbers	Compact Decimal Formatting	Short Currency 	5-digits-short-other-alphaNextToNumber
37	Numbers	Compact Decimal Formatting	Short Currency 	8-digits-short-other-alphaNextToNumber
36	Numbers	Compact Decimal Formatting	Short Currency 	4-digits-short-other-alphaNextToNumber
36	Numbers	Compact Decimal Formatting	Short Currency 	6-digits-short-other-alphaNextToNumber
30	Numbers	Compact Decimal Formatting	Short Currency 	12-digits-short-one-alphaNextToNumber
30	Numbers	Compact Decimal Formatting	Short Currency 	15-digits-short-one-alphaNextToNumber
30	Numbers	Compact Decimal Formatting	Short Currency 	13-digits-short-one-alphaNextToNumber
29	Numbers	Compact Decimal Formatting	Short Currency 	9-digits-short-one-alphaNextToNumber
29	Numbers	Compact Decimal Formatting	Short Currency 	7-digits-short-one-alphaNextToNumber
29	Numbers	Compact Decimal Formatting	Short Currency 	11-digits-short-one-alphaNextToNumber
29	Numbers	Compact Decimal Formatting	Short Currency 	14-digits-short-one-alphaNextToNumber
28	Numbers	Compact Decimal Formatting	Short Currency 	10-digits-short-one-alphaNextToNumber
27	Numbers	Compact Decimal Formatting	Short Currency 	4-digits-short-one-alphaNextToNumber
27	Numbers	Compact Decimal Formatting	Short Currency 	5-digits-short-one-alphaNextToNumber
27	Numbers	Compact Decimal Formatting	Short Currency 	6-digits-short-one-alphaNextToNumber
27	Numbers	Compact Decimal Formatting	Short Currency 	8-digits-short-one-alphaNextToNumber
9	Date & Time	Gregorian	Day Periods - wide - Formatting	pm
8	Date & Time	Gregorian	Day Periods - wide - Formatting	am
8	Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency
8	Date & Time	Gregorian	Formats - Flexible - Date Formats	MEd
7	Numbers	Number Formatting Patterns	Standard Patterns 	accounting-currency-alphaNextToNumber
6	Core Data	Alphabetic Information	Characters in Use	Main Letters
6	Date & Time	Gregorian	Formats - Standard - Date Formats	full
6	Units	Digital	petabyte	narrow-one-nominative
6	Units	Digital	petabyte	narrow-other-nominative
5	Numbers	Number Formatting Patterns	Standard Patterns 	accounting-currency
5	Date & Time	Gregorian	Formats - Standard - Date Formats	long
5	Date & Time	Gregorian	Formats - Standard - Date Formats	medium
5	Date & Time	Gregorian	Formats - Standard - Date Formats	short
5	Date & Time	Gregorian	Day Periods - abbreviated - Formatting	am
5	Date & Time	Gregorian	Day Periods - abbreviated - Formatting	pm
5	Units	Other Units	permillion	narrow-other-nominative
5	Units	Digital	terabyte	narrow-one-nominative
5	Units	Digital	gigabyte	narrow-one-nominative
5	Units	Digital	gigabit	narrow-one-nominative
5	Units	Digital	megabyte	narrow-one-nominative
5	Units	Digital	megabit	narrow-one-nominative
5	Units	Digital	kilobyte	narrow-one-nominative
5	Units	Digital	kilobit	narrow-one-nominative
4	Numbers	Compact Decimal Formatting	Short Currency 	15-digits-short-other
4	Date & Time	Gregorian	Formats - Standard - Time Formats	full
4	Numbers	Compact Decimal Formatting	Short Currency 	4-digits-short-two-alphaNextToNumber
4	Numbers	Compact Decimal Formatting	Short Currency 	5-digits-short-two-alphaNextToNumber
4	Numbers	Compact Decimal Formatting	Short Currency 	6-digits-short-two-alphaNextToNumber
4	Numbers	Compact Decimal Formatting	Short Currency 	7-digits-short-two-alphaNextToNumber
4	Numbers	Compact Decimal Formatting	Short Currency 	8-digits-short-two-alphaNextToNumber
4	Numbers	Compact Decimal Formatting	Short Currency 	9-digits-short-two-alphaNextToNumber
4	Numbers	Compact Decimal Formatting	Short Currency 	10-digits-short-two-alphaNextToNumber
4	Numbers	Compact Decimal Formatting	Short Currency 	11-digits-short-two-alphaNextToNumber
4	Numbers	Compact Decimal Formatting	Short Currency 	12-digits-short-two-alphaNextToNumber
4	Numbers	Compact Decimal Formatting	Short Currency 	13-digits-short-two-alphaNextToNumber
4	Numbers	Compact Decimal Formatting	Short Currency 	14-digits-short-two-alphaNextToNumber
4	Numbers	Compact Decimal Formatting	Short Currency 	15-digits-short-two-alphaNextToNumber
4	Numbers	Number Formatting Patterns	Standard Patterns 	standard-percent
4	Date & Time	Fields	Date Fields	era
4	Date & Time	Gregorian	Formats - Flexible - Date Formats	MMMEd
