# Grammatical Features
#Locale	ID	Feature	Usage	Values
Hungarian	hu	grammaticalCase	general	nominative, accusative, dative, instrumental, ablative, inessive, elative, illative, adessive, allative, essive, translative, causal, delative, sublative, superessive, terminative
Hungarian	hu	grammaticalCase	units	nominative, accusative, instrumental, translative, terminative

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	A kosár tartalma: {0} X. Megveszi?	<div class='cldr_example'>A kosár tartalma: <span class='cldr_substituted'>1</span> X. Megveszi?</div><div class='cldr_example'>❌  A kosár tartalma: <span class='cldr_substituted'>2</span> X. Megveszi?</div>
Plural	other	A kosár tartalma: {0} X. Megveszi őket?	<div class='cldr_example'>A kosár tartalma: <span class='cldr_substituted'>2</span> X. Megveszi őket?</div><div class='cldr_example'>❌  A kosár tartalma: <span class='cldr_substituted'>1</span> X. Megveszi őket?</div>
Case (for measurement units)	nominative	{0} év	<div class='cldr_example'><span class='cldr_substituted'>1 nap</span> év</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1 napot</span> év</div>
Case (for measurement units)	accusative	{0} évet	<div class='cldr_example'><span class='cldr_substituted'>1 napot</span> évet</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1 nappal</span> évet</div>
Case (for measurement units)	instrumental	{0} évvel	<div class='cldr_example'><span class='cldr_substituted'>1 nappal</span> évvel</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1 napot</span> évvel</div>
Case (for measurement units)	translative	{0} évvé	<div class='cldr_example'><span class='cldr_substituted'>1 nappá</span> évvé</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1 napot</span> évvé</div>
Case (for measurement units)	terminative	{0} évig	<div class='cldr_example'><span class='cldr_substituted'>1 napig</span> évig</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1 napot</span> évig</div>

# Unit Case and Gender Info
#Quantity	Unit	Case	Pattern for one	Case MP + pattern with 1.0	Pattern for other	Case MP + pattern with 2.0
angle	arc-minute • ( = 0.00004˙629 rev)	translative	{0} ívperccé	1 ívperccé évvé	{0} ívperccé	2 ívperccé évvé
angle	arc-minute • ( = 0.00004˙629 rev)	terminative	{0} ívpercig	1 ívpercig évig	{0} ívpercig	2 ívpercig évig
angle	degree • ( = 0.002˙7 rev)	nominative	{0} fok	1 fok év	{0} fok	2 fok év
angle	degree • ( = 0.002˙7 rev)	accusative	{0} fokot	1 fokot évet	{0} fokot	2 fokot évet
angle	degree • ( = 0.002˙7 rev)	instrumental	{0} fokkal	1 fokkal évvel	{0} fokkal	2 fokkal évvel
angle	degree • ( = 0.002˙7 rev)	translative	{0} fokká	1 fokká évvé	{0} fokká	2 fokká évvé
angle	degree • ( = 0.002˙7 rev)	terminative	{0} fokig	1 fokig évig	{0} fokig	2 fokig évig
angle	radian • ( = ~0.1591549430918953 rev)	nominative	{0} radián	1 radián év	{0} radián	2 radián év
angle	radian • ( = ~0.1591549430918953 rev)	accusative	{0} radiánt	1 radiánt évet	{0} radiánt	2 radiánt évet
angle	radian • ( = ~0.1591549430918953 rev)	instrumental	{0} radiánnal	1 radiánnal évvel	{0} radiánnal	2 radiánnal évvel
angle	radian • ( = ~0.1591549430918953 rev)	translative	{0} radiánná	1 radiánná évvé	{0} radiánná	2 radiánná évvé
angle	radian • ( = ~0.1591549430918953 rev)	terminative	{0} radiánig	1 radiánig évig	{0} radiánig	2 radiánig évig
angle	revolutions	nominative	{0} fordulat	1 fordulat év	{0} fordulat	2 fordulat év
angle	revolutions	accusative	{0} fordulatot	1 fordulatot évet	{0} fordulatot	2 fordulatot évet
angle	revolutions	instrumental	{0} fordulattal	1 fordulattal évvel	{0} fordulattal	2 fordulattal évvel
angle	revolutions	translative	{0} fordulattá	1 fordulattá évvé	{0} fordulattá	2 fordulattá évvé
angle	revolutions	terminative	{0} fordulatig	1 fordulatig évig	{0} fordulatig	2 fordulatig évig
area	square centimeters	nominative	{0} négyzetcentiméter	1 négyzetcentiméter év	{0} négyzetcentiméter	2 négyzetcentiméter év
area	square centimeters	accusative	{0} négyzetcentimétert	1 négyzetcentimétert évet	{0} négyzetcentimétert	2 négyzetcentimétert évet
area	square centimeters	instrumental	{0} négyzetcentiméterrel	1 négyzetcentiméterrel évvel	{0} négyzetcentiméterrel	2 négyzetcentiméterrel évvel
area	square centimeters	translative	{0} négyzetcentiméterré	1 négyzetcentiméterré évvé	{0} négyzetcentiméterré	2 négyzetcentiméterré évvé
area	square centimeters	terminative	{0} négyzetcentiméterig	1 négyzetcentiméterig évig	{0} négyzetcentiméterig	2 négyzetcentiméterig évig
area	square-inch • ( = 6.4516 cm²)	nominative	{0} négyzethüvelyk	1 négyzethüvelyk év	{0} négyzethüvelyk	2 négyzethüvelyk év
area	square-inch • ( = 6.4516 cm²)	accusative	{0} négyzethüvelyk	1 négyzethüvelyk évet	{0} négyzethüvelyk	2 négyzethüvelyk évet
area	square-inch • ( = 6.4516 cm²)	instrumental	{0} négyzethüvelyk	1 négyzethüvelyk évvel	{0} négyzethüvelyk	2 négyzethüvelyk évvel
area	square-inch • ( = 6.4516 cm²)	translative	{0} négyzethüvelyk	1 négyzethüvelyk évvé	{0} négyzethüvelyk	2 négyzethüvelyk évvé
area	square-inch • ( = 6.4516 cm²)	terminative	{0} négyzethüvelyk	1 négyzethüvelyk évig	{0} négyzethüvelyk	2 négyzethüvelyk évig
area	square-foot • ( = 929.0304 cm²)	nominative	{0} négyzetláb	1 négyzetláb év	{0} négyzetláb	2 négyzetláb év
area	square-foot • ( = 929.0304 cm²)	accusative	{0} négyzetláb	1 négyzetláb évet	{0} négyzetláb	2 négyzetláb évet
area	square-foot • ( = 929.0304 cm²)	instrumental	{0} négyzetláb	1 négyzetláb évvel	{0} négyzetláb	2 négyzetláb évvel
area	square-foot • ( = 929.0304 cm²)	translative	{0} négyzetláb	1 négyzetláb évvé	{0} négyzetláb	2 négyzetláb évvé
area	square-foot • ( = 929.0304 cm²)	terminative	{0} négyzetláb	1 négyzetláb évig	{0} négyzetláb	2 négyzetláb évig
area	square-yard • ( = 0.83612736 m²)	nominative	{0} négyzetyard	1 négyzetyard év	{0} négyzetyard	2 négyzetyard év
area	square-yard • ( = 0.83612736 m²)	accusative	{0} négyzetyard	1 négyzetyard évet	{0} négyzetyard	2 négyzetyard évet
area	square-yard • ( = 0.83612736 m²)	instrumental	{0} négyzetyard	1 négyzetyard évvel	{0} négyzetyard	2 négyzetyard évvel
area	square-yard • ( = 0.83612736 m²)	translative	{0} négyzetyard	1 négyzetyard évvé	{0} négyzetyard	2 négyzetyard évvé
area	square-yard • ( = 0.83612736 m²)	terminative	{0} négyzetyard	1 négyzetyard évig	{0} négyzetyard	2 négyzetyard évig
area	square meters	nominative	{0} négyzetméter	1 négyzetméter év	{0} négyzetméter	2 négyzetméter év
area	square meters	accusative	{0} négyzetmétert	1 négyzetmétert évet	{0} négyzetmétert	2 négyzetmétert évet
area	square meters	instrumental	{0} négyzetméterrel	1 négyzetméterrel évvel	{0} négyzetméterrel	2 négyzetméterrel évvel
area	square meters	translative	{0} négyzetméterré	1 négyzetméterré évvé	{0} négyzetméterré	2 négyzetméterré évvé
area	square meters	terminative	{0} négyzetméterig	1 négyzetméterig évig	{0} négyzetméterig	2 négyzetméterig évig
area	acre • ( = 4046.8564224 m²)	nominative	{0} hold	1 hold év	{0} hold	2 hold év
area	acre • ( = 4046.8564224 m²)	accusative	{0} hold	1 hold évet	{0} hold	2 hold évet
area	acre • ( = 4046.8564224 m²)	instrumental	{0} hold	1 hold évvel	{0} hold	2 hold évvel
area	acre • ( = 4046.8564224 m²)	translative	{0} hold	1 hold évvé	{0} hold	2 hold évvé
area	acre • ( = 4046.8564224 m²)	terminative	{0} hold	1 hold évig	{0} hold	2 hold évig
area	hectares	nominative	{0} hektár	1 hektár év	{0} hektár	2 hektár év
area	hectares	accusative	{0} hektárt	1 hektárt évet	{0} hektárt	2 hektárt évet
area	hectares	instrumental	{0} hektárral	1 hektárral évvel	{0} hektárral	2 hektárral évvel
area	hectares	translative	{0} hektárrá	1 hektárrá évvé	{0} hektárrá	2 hektárrá évvé
area	hectares	terminative	{0} hektárig	1 hektárig évig	{0} hektárig	2 hektárig évig
area	square kilometers	nominative	{0} négyzetkilométer	1 négyzetkilométer év	{0} négyzetkilométer	2 négyzetkilométer év
area	square kilometers	accusative	{0} négyzetkilométert	1 négyzetkilométert évet	{0} négyzetkilométert	2 négyzetkilométert évet
area	square kilometers	instrumental	{0} négyzetkilométerrel	1 négyzetkilométerrel évvel	{0} négyzetkilométerrel	2 négyzetkilométerrel évvel
area	square kilometers	translative	{0} négyzetkilométerré	1 négyzetkilométerré évvé	{0} négyzetkilométerré	2 négyzetkilométerré évvé
area	square kilometers	terminative	{0} négyzetkilométerig	1 négyzetkilométerig évig	{0} négyzetkilométerig	2 négyzetkilométerig évig
area	square-mile • ( = 2.589988110336 km²)	nominative	{0} négyzetmérföld	1 négyzetmérföld év	{0} négyzetmérföld	2 négyzetmérföld év
area	square-mile • ( = 2.589988110336 km²)	accusative	{0} négyzetmérföld	1 négyzetmérföld évet	{0} négyzetmérföld	2 négyzetmérföld évet
area	square-mile • ( = 2.589988110336 km²)	instrumental	{0} négyzetmérföld	1 négyzetmérföld évvel	{0} négyzetmérföld	2 négyzetmérföld évvel
area	square-mile • ( = 2.589988110336 km²)	translative	{0} négyzetmérföld	1 négyzetmérföld évvé	{0} négyzetmérföld	2 négyzetmérföld évvé
area	square-mile • ( = 2.589988110336 km²)	terminative	{0} négyzetmérföld	1 négyzetmérföld évig	{0} négyzetmérföld	2 négyzetmérföld évig
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	nominative	{0} millimól/liter	1 millimól/liter év	{0} millimól/liter	2 millimól/liter év
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	accusative	{0} millimól/litert	1 millimól/litert évet	{0} millimól/litert	2 millimól/litert évet
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	instrumental	{0} millimól/literrel	1 millimól/literrel évvel	{0} millimól/literrel	2 millimól/literrel évvel
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	translative	{0} millimól/literré	1 millimól/literré évvé	{0} millimól/literré	2 millimól/literré évvé
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	terminative	{0} millimól/literig	1 millimól/literig évig	{0} millimól/literig	2 millimól/literig évig
consumption	liters per 100 kilometers	nominative	{0} liter/100 km	1 liter/100 km év	{0} liter/100 km	2 liter/100 km év
consumption	liters per 100 kilometers	accusative	{0} liter/100 km-t	1 liter/100 km-t évet	{0} liter/100 km-t	2 liter/100 km-t évet
consumption	liters per 100 kilometers	instrumental	{0} liter/100 km-rel	1 liter/100 km-rel évvel	{0} liter/100 km-rel	2 liter/100 km-rel évvel
consumption	liters per 100 kilometers	translative	{0} liter/100 km-ré	1 liter/100 km-ré évvé	{0} liter/100 km-ré	2 liter/100 km-ré évvé
consumption	liters per 100 kilometers	terminative	{0} liter/100 km-ig	1 liter/100 km-ig évig	{0} liter/100 km-ig	2 liter/100 km-ig évig
consumption	liters per kilometer	nominative	{0} liter per kilométer	1 liter per kilométer év	{0} liter per kilométer	2 liter per kilométer év
consumption	liters per kilometer	accusative	{0} liter per kilométert	1 liter per kilométert évet	{0} liter per kilométert	2 liter per kilométert évet
consumption	liters per kilometer	instrumental	{0} liter per kilométerrel	1 liter per kilométerrel évvel	{0} liter per kilométerrel	2 liter per kilométerrel évvel
consumption	liters per kilometer	translative	{0} liter per kilométerré	1 liter per kilométerré évvé	{0} liter per kilométerré	2 liter per kilométerré évvé
consumption	liters per kilometer	terminative	{0} liter per kilométerig	1 liter per kilométerig évig	{0} liter per kilométerig	2 liter per kilométerig évig
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	nominative	{0} mérföld/birodalmi gallon	1 mérföld/birodalmi gallon év	{0} mérföld/birodalmi gallon	2 mérföld/birodalmi gallon év
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	accusative	{0} mérföld/birodalmi gallon	1 mérföld/birodalmi gallon évet	{0} mérföld/birodalmi gallon	2 mérföld/birodalmi gallon évet
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	instrumental	{0} mérföld/birodalmi gallon	1 mérföld/birodalmi gallon évvel	{0} mérföld/birodalmi gallon	2 mérföld/birodalmi gallon évvel
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	translative	{0} mérföld/birodalmi gallon	1 mérföld/birodalmi gallon évvé	{0} mérföld/birodalmi gallon	2 mérföld/birodalmi gallon évvé
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	terminative	{0} mérföld/birodalmi gallon	1 mérföld/birodalmi gallon évig	{0} mérföld/birodalmi gallon	2 mérföld/birodalmi gallon évig
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	nominative	{0} mérföld per gallon	1 mérföld per gallon év	{0} mérföld per gallon	2 mérföld per gallon év
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	accusative	{0} mérföld per gallon	1 mérföld per gallon évet	{0} mérföld per gallon	2 mérföld per gallon évet
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	instrumental	{0} mérföld per gallon	1 mérföld per gallon évvel	{0} mérföld per gallon	2 mérföld per gallon évvel
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	translative	{0} mérföld per gallon	1 mérföld per gallon évvé	{0} mérföld per gallon	2 mérföld per gallon évvé
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	terminative	{0} mérföld per gallon	1 mérföld per gallon évig	{0} mérföld per gallon	2 mérföld per gallon évig
digital	bits	nominative	{0} bit	1 bit év	{0} bit	2 bit év
digital	bits	accusative	{0} bitet	1 bitet évet	{0} bitet	2 bitet évet
digital	bits	instrumental	{0} bittel	1 bittel évvel	{0} bittel	2 bittel évvel
digital	bits	translative	{0} bitté	1 bitté évvé	{0} bitté	2 bitté évvé
digital	bits	terminative	{0} bitig	1 bitig évig	{0} bitig	2 bitig évig
digital	byte • ( = 8 bit)	nominative	{0} bájt	1 bájt év	{0} bájt	2 bájt év
digital	byte • ( = 8 bit)	accusative	{0} bájtot	1 bájtot évet	{0} bájtot	2 bájtot évet
digital	byte • ( = 8 bit)	instrumental	{0} bájttal	1 bájttal évvel	{0} bájttal	2 bájttal évvel
digital	byte • ( = 8 bit)	translative	{0} bájttá	1 bájttá évvé	{0} bájttá	2 bájttá évvé
digital	byte • ( = 8 bit)	terminative	{0} bájtig	1 bájtig évig	{0} bájtig	2 bájtig évig
digital	kilobits	nominative	{0} kilobit	1 kilobit év	{0} kilobit	2 kilobit év
digital	kilobits	accusative	{0} kilobitet	1 kilobitet évet	{0} kilobitet	2 kilobitet évet
digital	kilobits	instrumental	{0} kilobittel	1 kilobittel évvel	{0} kilobittel	2 kilobittel évvel
digital	kilobits	translative	{0} kilobitté	1 kilobitté évvé	{0} kilobitté	2 kilobitté évvé
digital	kilobits	terminative	{0} kilobitig	1 kilobitig évig	{0} kilobitig	2 kilobitig évig
digital	kilobyte • ( = 8 kb)	nominative	{0} kilobájt	1 kilobájt év	{0} kilobájt	2 kilobájt év
digital	kilobyte • ( = 8 kb)	accusative	{0} kilobájtot	1 kilobájtot évet	{0} kilobájtot	2 kilobájtot évet
digital	kilobyte • ( = 8 kb)	instrumental	{0} kilobájttal	1 kilobájttal évvel	{0} kilobájttal	2 kilobájttal évvel
digital	kilobyte • ( = 8 kb)	translative	{0} kilobájttá	1 kilobájttá évvé	{0} kilobájttá	2 kilobájttá évvé
digital	kilobyte • ( = 8 kb)	terminative	{0} kilobájtig	1 kilobájtig évig	{0} kilobájtig	2 kilobájtig évig
digital	megabits	nominative	{0} megabit	1 megabit év	{0} megabit	2 megabit év
digital	megabits	accusative	{0} megabitet	1 megabitet évet	{0} megabitet	2 megabitet évet
digital	megabits	instrumental	{0} megabittel	1 megabittel évvel	{0} megabittel	2 megabittel évvel
digital	megabits	translative	{0} megabitté	1 megabitté évvé	{0} megabitté	2 megabitté évvé
digital	megabits	terminative	{0} megabitig	1 megabitig évig	{0} megabitig	2 megabitig évig
digital	megabyte • ( = 8 Mb)	nominative	{0} megabájt	1 megabájt év	{0} megabájt	2 megabájt év
digital	megabyte • ( = 8 Mb)	accusative	{0} megabájtot	1 megabájtot évet	{0} megabájtot	2 megabájtot évet
digital	megabyte • ( = 8 Mb)	instrumental	{0} megabájttal	1 megabájttal évvel	{0} megabájttal	2 megabájttal évvel
digital	megabyte • ( = 8 Mb)	translative	{0} megabájttá	1 megabájttá évvé	{0} megabájttá	2 megabájttá évvé
digital	megabyte • ( = 8 Mb)	terminative	{0} megabájtig	1 megabájtig évig	{0} megabájtig	2 megabájtig évig
digital	gigabits	nominative	{0} gigabit	1 gigabit év	{0} gigabit	2 gigabit év
digital	gigabits	accusative	{0} gigabitet	1 gigabitet évet	{0} gigabitet	2 gigabitet évet
digital	gigabits	instrumental	{0} gigabittel	1 gigabittel évvel	{0} gigabittel	2 gigabittel évvel
digital	gigabits	translative	{0} gigabitté	1 gigabitté évvé	{0} gigabitté	2 gigabitté évvé
digital	gigabits	terminative	{0} gigabitig	1 gigabitig évig	{0} gigabitig	2 gigabitig évig
digital	gigabyte • ( = 8 Gb)	nominative	{0} gigabájt	1 gigabájt év	{0} gigabájt	2 gigabájt év
digital	gigabyte • ( = 8 Gb)	accusative	{0} gigabájtot	1 gigabájtot évet	{0} gigabájtot	2 gigabájtot évet
digital	gigabyte • ( = 8 Gb)	instrumental	{0} gigabájttal	1 gigabájttal évvel	{0} gigabájttal	2 gigabájttal évvel
digital	gigabyte • ( = 8 Gb)	translative	{0} gigabájttá	1 gigabájttá évvé	{0} gigabájttá	2 gigabájttá évvé
digital	gigabyte • ( = 8 Gb)	terminative	{0} gigabájtig	1 gigabájtig évig	{0} gigabájtig	2 gigabájtig évig
digital	terabits	nominative	{0} terabit	1 terabit év	{0} terabit	2 terabit év
digital	terabits	accusative	{0} terabitet	1 terabitet évet	{0} terabitet	2 terabitet évet
digital	terabits	instrumental	{0} terabittel	1 terabittel évvel	{0} terabittel	2 terabittel évvel
digital	terabits	translative	{0} terabitté	1 terabitté évvé	{0} terabitté	2 terabitté évvé
digital	terabits	terminative	{0} terabitig	1 terabitig évig	{0} terabitig	2 terabitig évig
digital	terabyte • ( = 8 Tb)	nominative	{0} terabájt	1 terabájt év	{0} terabájt	2 terabájt év
digital	terabyte • ( = 8 Tb)	accusative	{0} terabájtot	1 terabájtot évet	{0} terabájtot	2 terabájtot évet
digital	terabyte • ( = 8 Tb)	instrumental	{0} terabájttal	1 terabájttal évvel	{0} terabájttal	2 terabájttal évvel
digital	terabyte • ( = 8 Tb)	translative	{0} terabájttá	1 terabájttá évvé	{0} terabájttá	2 terabájttá évvé
digital	terabyte • ( = 8 Tb)	terminative	{0} terabájtig	1 terabájtig évig	{0} terabájtig	2 terabájtig évig
digital	petabyte • ( = 8000 Tb)	nominative	{0} petabájt	1 petabájt év	{0} petabájt	2 petabájt év
digital	petabyte • ( = 8000 Tb)	accusative	{0} petabájtot	1 petabájtot évet	{0} petabájtot	2 petabájtot évet
digital	petabyte • ( = 8000 Tb)	instrumental	{0} petabájttal	1 petabájttal évvel	{0} petabájttal	2 petabájttal évvel
digital	petabyte • ( = 8000 Tb)	translative	{0} petabájttá	1 petabájttá évvé	{0} petabájttá	2 petabájttá évvé
digital	petabyte • ( = 8000 Tb)	terminative	{0} petabájtig	1 petabájtig évig	{0} petabájtig	2 petabájtig évig
duration	nanoseconds	nominative	{0} nanoszekundum	1 nanoszekundum év	{0} nanoszekundum	2 nanoszekundum év
duration	nanoseconds	accusative	{0} nanoszekundumot	1 nanoszekundumot évet	{0} nanoszekundumot	2 nanoszekundumot évet
duration	nanoseconds	instrumental	{0} nanoszekundummal	1 nanoszekundummal évvel	{0} nanoszekundummal	2 nanoszekundummal évvel
duration	nanoseconds	translative	{0} nanoszekundummá	1 nanoszekundummá évvé	{0} nanoszekundummá	2 nanoszekundummá évvé
duration	nanoseconds	terminative	{0} nanoszekundumig	1 nanoszekundumig évig	{0} nanoszekundumig	2 nanoszekundumig évig
duration	microseconds	nominative	{0} mikroszekundum	1 mikroszekundum év	{0} mikroszekundum	2 mikroszekundum év
duration	microseconds	accusative	{0} mikroszekundumot	1 mikroszekundumot évet	{0} mikroszekundumot	2 mikroszekundumot évet
duration	microseconds	instrumental	{0} mikroszekundummal	1 mikroszekundummal évvel	{0} mikroszekundummal	2 mikroszekundummal évvel
duration	microseconds	translative	{0} mikroszekundummá	1 mikroszekundummá évvé	{0} mikroszekundummá	2 mikroszekundummá évvé
duration	microseconds	terminative	{0} mikroszekundumig	1 mikroszekundumig évig	{0} mikroszekundumig	2 mikroszekundumig évig
duration	milliseconds	nominative	{0} ezredmásodperc	1 ezredmásodperc év	{0} ezredmásodperc	2 ezredmásodperc év
duration	milliseconds	accusative	{0} ezredmásodpercet	1 ezredmásodpercet évet	{0} ezredmásodpercig	2 ezredmásodpercig évet
duration	milliseconds	instrumental	{0} ezredmásodperccel	1 ezredmásodperccel évvel	{0} ezredmásodperccel	2 ezredmásodperccel évvel
duration	milliseconds	translative	{0} ezredmásodperccé	1 ezredmásodperccé évvé	{0} ezredmásodperccé	2 ezredmásodperccé évvé
duration	milliseconds	terminative	{0} ezredmásodpercig	1 ezredmásodpercig évig	{0} ezredmásodpercig	2 ezredmásodpercig évig
duration	seconds	nominative	{0} másodperc	1 másodperc év	{0} másodperc	2 másodperc év
duration	seconds	accusative	{0} másodpercet	1 másodpercet évet	{0} másodpercet	2 másodpercet évet
duration	seconds	instrumental	{0} másodperccel	1 másodperccel évvel	{0} másodperccel	2 másodperccel évvel
duration	seconds	translative	{0} másodperccé	1 másodperccé évvé	{0} másodperccé	2 másodperccé évvé
duration	seconds	terminative	{0} másodpercig	1 másodpercig évig	{0} másodpercig	2 másodpercig évig
duration	minute • ( = 60 sec)	nominative	{0} perc	1 perc év	{0} perc	2 perc év
duration	minute • ( = 60 sec)	accusative	{0} percet	1 percet évet	{0} percet	2 percet évet
duration	minute • ( = 60 sec)	instrumental	{0} perccel	1 perccel évvel	{0} perccel	2 perccel évvel
duration	minute • ( = 60 sec)	translative	{0} perccé	1 perccé évvé	{0} perccé	2 perccé évvé
duration	minute • ( = 60 sec)	terminative	{0} percig	1 percig évig	{0} percig	2 percig évig
duration	hour • ( = 3600 sec)	nominative	{0} óra	1 óra év	{0} óra	2 óra év
duration	hour • ( = 3600 sec)	accusative	{0} órát	1 órát évet	{0} órát	2 órát évet
duration	hour • ( = 3600 sec)	instrumental	{0} órával	1 órával évvel	{0} órával	2 órával évvel
duration	hour • ( = 3600 sec)	translative	{0} órává	1 órává évvé	{0} órává	2 órává évvé
