# Grammatical Features
#Locale	ID	Feature	Usage	Values
Portuguese	pt	grammaticalGender	general	masculine, feminine

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
pressure	millibars	masculine	O milibar é
pressure	kilopascals	masculine	O quilopascal é
pressure	inch-ofhg • ( = 3386.388640341 kilogram-meters per square meter-square second)	n/a	n/a
pressure	pound-force-per-square-inch • ( = ~6894.757293168361 kilogram-meters per square meter-square second)	n/a	n/a
pressure	bars	masculine	O bar é
pressure	atmosphere • ( = 1.01325 bar)	feminine	A atmosfera é...
pressure	megapascals	masculine	O megapascal é
resolution	dot-per-inch • ( = ~39.37007874015748 pixels per meter)	n/a	n/a
resolution	pixel-per-inch • ( = ~39.37007874015748 pixels per meter)	n/a	n/a
resolution	pixel-per-centimeter • ( = 1 dpcm)	masculine	O pixel por centímetro é
speed	kilometer-per-hour • ( = 0.2˙7 m/s)	masculine	O quilômetro por hora é
speed	mile-per-hour • ( = 0.44704 m/s)	feminine	A milha por hora é...
speed	meters per second	masculine	O metro por segundo é
speed	light-speed • ( = 299792458 m/s)	n/a	n/a
substance-amount	items	masculine	O item é
substance-amount	mole • ( = 602214076000000000000000 items)	masculine	O mol é
temperature	degrees temperature	masculine	O ° é
temperature	fahrenheit • ( = 0.˙5 K)	masculine	O grau Fahrenheit é
temperature	celsius • ( = 1 K)	masculine	O grau Celsius é
temperature	kelvins	masculine	O kelvin é
typewidth	typographic ems	masculine	O em é
voltage	volts	masculine	O volt é
volume	drop • ( = 0.0513429332682291˙6 mL)	feminine	A gota é...
volume	pinch • ( = 0.23104319970703125 mL)	feminine	A pitada é...
volume	cubic-centimeter • ( = 1 mL)	masculine	O centímetro cúbico é
volume	milliliters	masculine	O mililitro é
volume	dessert-spoon • ( = 1.84834559765625 mL)	feminine	A colher de sobremesa é...
volume	dessert-spoon-imperial • ( = 2.2197705078125 mL)	feminine	A colher de sobremesa imperial é...
volume	dram • ( = 3.6966911953125 mL)	masculine	O dracma líquido é
volume	teaspoon • ( = 4.92892159375 mL)	feminine	A colher de chá é...
volume	centiliters	masculine	O centilitro é
volume	tablespoon • ( = 1.478676478125 cL)	feminine	A colher de sopa é...
volume	cubic-inch • ( = 1.6387064 cL)	n/a	n/a
volume	fluid-ounce-imperial • ( = 2.84130625 cL)	feminine	A onça fluida imperial é...
volume	fluid-ounce • ( = 2.95735295625 cL)	feminine	A onça fluida é...
volume	jigger • ( = 4.436029434375 cL)	masculine	O dosador é
volume	deciliter • ( = 10 cL)	masculine	O decilitro é
volume	cup • ( = 23.65882365 cL)	feminine	A xícara é...
volume	cup-metric • ( = 25 cL)	feminine	A xícara métrica é...
volume	pint • ( = 47.3176473 cL)	masculine	O pint é
volume	pint-metric • ( = 50 cL)	masculine	O pint métrico é
volume	quart • ( = 0.946352946 L)	masculine	O quarto é
volume	liters	masculine	O litro é
volume	quart-imperial • ( = 1.1365225 L)	masculine	O quarto imperial é
volume	gallon • ( = 3.785411784 L)	masculine	O galão é
volume	gallon-imperial • ( = 4.54609 L)	masculine	O galão imperial é
volume	cubic-foot • ( = 28.316846592 L)	masculine	O pé cúbico é
volume	bushel • ( = 35.23907016688 L)	n/a	n/a
volume	hectoliters	masculine	O hectolitro é
volume	barrel • ( = 1.58987294928 hL)	n/a	n/a
volume	cubic-yard • ( = 0.764554857984 m³)	n/a	n/a
volume	cubic meters	masculine	O metro cúbico é
volume	megaliters	masculine	O megalitro é
volume	acre-foot • ( = 1.23348183754752 ML)	n/a	n/a
volume	cubic kilometers	masculine	O quilômetro cúbico é
volume	cubic-mile • ( = 4.168181825440579584 km³)	feminine	A milha cúbica é...
year-duration	month • ( = 0.08˙3 yrs)	masculine	O mês é
year-duration	quarter • ( = 0.25 yrs)	masculine	O trimestre é
year-duration	years	masculine	O ano é
year-duration	decades	feminine	A década é...
year-duration	centuries	masculine	O século é

# Unit Power Components
#Unit	Case	Gender	Pattern for one	Case MP + pattern with 1.0	Pattern for other	Case MP + pattern with 3.0
power2	nominative	masculine • (second)	{0} quadrado	1 segundo quadrado	{0} quadrados	3 segundos quadrados
power2	nominative	feminine • (hour)	{0} quadrada	1 hora quadrada	{0} quadradas	3 horas quadradas
power3	nominative	masculine • (second)	{0} cúbico	1 segundo cúbico	{0} cúbicos	3 segundos cúbicos
power3	nominative	feminine • (hour)	{0} cúbica	1 hora cúbica	{0} cúbicas	3 horas cúbicas
