# Grammatical Features
Danish	da	grammaticalCase	general	nominative, genitive
Danish	da	grammaticalDefiniteness	general	unspecified, indefinite, definite
Danish	da	grammaticalGender	general	neuter, common

# Minimal Pairs
Plural	one	{0} dag	<div class='cldr_example'><span class='cldr_substituted'>1</span> dag</div>
Plural	other	{0} dage	<div class='cldr_example'><span class='cldr_substituted'>2</span> dage</div>
Gender	common	En {0}	<div class='cldr_example'>En <span class='cldr_substituted'>meter</span></div>
Gender	neuter	Et {0}	<div class='cldr_example'>Et <span class='cldr_substituted'>minut</span></div>

# Unit Case and Gender Info
acceleration	meters per second squared	common	En meter pr. sekund²
acceleration	g-force ( = 9.80665 m/s²)	common	En G-kraft
angle	arc-second ( = 0.0000007˙716049382 rev)	neuter	Et buesekund
angle	arc-minute ( = 0.00004˙629 rev)	neuter	Et bueminut
angle	degree ( = 0.002˙7 rev)	common	En grad
angle	radian ( = ~0.1591549430918953 rev)	common	En radian
angle	revolutions	common	En omdrejning
area	square centimeters	common	En kvadratcentimeter
area	square-foot ( = 929.0304 cm²)	common	En kvadratfod
area	acre ( = 4,046.8564224 m²)	common	En acre
area	hectares	common	En hektar
area	square kilometers	common	En kvadratkilometer
area	square-mile ( = 2.589988110336 km²)	common	En kvadrat-engelsk mil
consumption	liters per 100 kilometers	common	En liter pr. 100 kilometer
consumption-inverse	mile-per-gallon-imperial ( = ~354006.1899346471 meters per cubic meter)	common	En mil pr. engelsk gallon
consumption-inverse	mile-per-gallon ( = ~425143.707430272 meters per cubic meter)	common	En mil pr. gallon
digital	bits	common	En bit
digital	byte ( = 8 bit)	common	En byte
duration	seconds	neuter	Et sekund
duration	minute ( = 60 sec)	neuter	Et minut
duration	hour ( = 3,600 sec)	common	En time
duration	day ( = 86,400 sec)	common	En dag
duration	day-person ( = 86,400 sec)	common	En dag
duration	week ( = 604,800 sec)	common	En uge
electric-current	amperes	common	En ampere
electric-resistance	ohms	common	En ohm
energy	dalton ( = 0.00000000014924180856 J)	common	En Da
energy	joules	common	En joule
energy	calorie ( = 4.184 J)	common	En kalorie
energy	foodcalorie ( = 4.184 kJ)	common	En kalorie
energy	kilocalorie ( = 4.184 kJ)	common	En kilokalorie
force	newtons	common	En newton
frequency	hertz	common	En hertz
graphics	pixel ( = 1 px)	common	En pixel
illuminance	lux	common	En lux
length	picometers	common	En pikometer
length	millimeters	common	En millimeter
length	centimeters	common	En centimeter
length	inch ( = 2.54 cm)	common	En tomme
length	foot ( = 3.048 dm)	common	En fod
length	yard ( = 0.9144 m)	common	En engelsk yard
length	meters	common	En meter
length	kilometers	common	En kilometer
length	mile ( = 1.609344 km)	common	En engelsk mil
length	mile-scandinavian ( = 10 km)	common	En svensk mil
length	solar-radius ( = 695,700 km)	common	En solradius
length	parsec ( = 30,856,780,000,000 km)	common	En parsec
luminous-flux	lumen	common	En lumen
luminous-intensity	candela	common	En candela
mass	milligrams	neuter	Et milligram
mass	grain ( = 64.79891 mg)	neuter	Et gran
mass	carat ( = 200 mg)	common	En karat
mass	grams	neuter	Et gram
mass	ounce ( = 28.349523125 g)	common	En ounce
mass	pound ( = 453.59237 g)	neuter	Et pund
mass	kilograms	neuter	Et kilogram
mass	metric tons	neuter	Et ton
mass	earth-mass ( = 5,972,200,000,000,000,000,000 t)	common	En jordmasse
mass	solar-mass ( = 1,988,470,000,000,000,000,000,000,000 t)	common	En solmasse
portion	parts per million	common	En part per million
portion	permyriad	common	En ‱
portion	permille	common	En promille
portion	percent	common	En procent
portion	karat ( = 4.1˙6%)	common	En karat
power	watts	common	En watt
power	solar-luminosity ( = 382,800,000,000,000,000 GW)	common	En L☉
pressure	pascals	common	En pascal
pressure	kilopascals	common	En kilopascal
pressure	bars	common	En bar
pressure	atmosphere ( = 1.01325 bar)	common	En atmosfære
speed	kilometer-per-hour ( = 0.2˙7 m/s)	common	En kilometer i timen
speed	mile-per-hour ( = 0.44704 m/s)	common	En engelsk mil i timen
speed	meters per second	common	En meter i sekundet
