# Grammatical Features
Lithuanian	lt	grammaticalCase	general	nominative, vocative, accusative, genitive, dative, locative, instrumental
Lithuanian	lt	grammaticalCase	units	nominative, accusative, genitive, dative, locative, instrumental
Lithuanian	lt	grammaticalGender	general	masculine, feminine

# Minimal Pairs
Plural	few	{0} obuoliai	<div class='cldr_example'><span class='cldr_substituted'>2</span> obuoliai</div>
Plural	many	{0} obuolio	<div class='cldr_example'><span class='cldr_substituted'>0,1</span> obuolio</div>
Plural	one	{0} obuolys	<div class='cldr_example'><span class='cldr_substituted'>1</span> obuolys</div>
Plural	other	{0} obuolių	<div class='cldr_example'><span class='cldr_substituted'>10</span> obuolių</div>
Case	accusative	{0} metrą	<div class='cldr_example'><span class='cldr_substituted'>2 metrus</span> metrą</div>
Case	dative	{0} metrui	<div class='cldr_example'><span class='cldr_substituted'>2 metrams</span> metrui</div>
Case	genitive	{0} metro	<div class='cldr_example'><span class='cldr_substituted'>0,1 metro</span> metro</div>
Case	instrumental	{0} metru	<div class='cldr_example'><span class='cldr_substituted'>2 metrais</span> metru</div>
Case	locative	{0} metre	<div class='cldr_example'><span class='cldr_substituted'>1 metre</span> metre</div>
Case	nominative	{0} metras	<div class='cldr_example'><span class='cldr_substituted'>2 metrai</span> metras</div>
Gender	feminine	{0} metras	<div class='cldr_example'><span class='cldr_substituted'>diena</span> metras</div>
Gender	masculine	{0} metras	<div class='cldr_example'><span class='cldr_substituted'>metras</span> metras</div>

# Unit Case and Gender Info
acceleration	g-force ( = 9.80665 m/s²)	masculine	laisvojo kritimo pagreitis metras	nominative	{0} laisvojo kritimo pagreitis	21 laisvojo kritimo pagreitis metras	{0} laisvojo kritimo pagreičiai	3 laisvojo kritimo pagreičiai metras	{0} laisvojo kritimo pagreičio	0,2 laisvojo kritimo pagreičio metras	{0} laisvojo kritimo pagreičių	10 laisvojo kritimo pagreičių metras
acceleration	g-force ( = 9.80665 m/s²)	masculine	laisvojo kritimo pagreitis metras	accusative	{0} laisvojo kritimo pagreitį	21 laisvojo kritimo pagreitį metrą	{0} laisvojo kritimo pagreičius	3 laisvojo kritimo pagreičius metrą	{0} laisvojo kritimo pagreičio	0,2 laisvojo kritimo pagreičio metrą	{0} laisvojo kritimo pagreičių	10 laisvojo kritimo pagreičių metrą
acceleration	g-force ( = 9.80665 m/s²)	masculine	laisvojo kritimo pagreitis metras	genitive	{0} laisvojo kritimo pagreičio	21 laisvojo kritimo pagreičio metro	{0} laisvojo kritimo pagreičių	3 laisvojo kritimo pagreičių metro	{0} laisvojo kritimo pagreičio	0,2 laisvojo kritimo pagreičio metro	{0} laisvojo kritimo pagreičių	10 laisvojo kritimo pagreičių metro
acceleration	g-force ( = 9.80665 m/s²)	masculine	laisvojo kritimo pagreitis metras	dative	{0} laisvojo kritimo pagreičiui	21 laisvojo kritimo pagreičiui metrui	{0} laisvojo kritimo pagreičiams	3 laisvojo kritimo pagreičiams metrui	{0} laisvojo kritimo pagreičio	0,2 laisvojo kritimo pagreičio metrui	{0} laisvojo kritimo pagreičių	10 laisvojo kritimo pagreičių metrui
acceleration	g-force ( = 9.80665 m/s²)	masculine	laisvojo kritimo pagreitis metras	locative	{0} laisvojo kritimo pagreityje	21 laisvojo kritimo pagreityje metre	{0} laisvojo kritimo pagreičiuose	3 laisvojo kritimo pagreičiuose metre	{0} laisvojo kritimo pagreičio	0,2 laisvojo kritimo pagreičio metre	{0} laisvojo kritimo pagreičių	10 laisvojo kritimo pagreičių metre
acceleration	g-force ( = 9.80665 m/s²)	masculine	laisvojo kritimo pagreitis metras	instrumental	{0} laisvojo kritimo pagreičiu	21 laisvojo kritimo pagreičiu metru	{0} laisvojo kritimo pagreičiais	3 laisvojo kritimo pagreičiais metru	{0} laisvojo kritimo pagreičio	0,2 laisvojo kritimo pagreičio metru	{0} laisvojo kritimo pagreičių	10 laisvojo kritimo pagreičių metru
angle	arc-second ( = 0.0000007˙716049382 rev)	feminine	kampo sekundė metras	nominative	{0} kampo sekundė	21 kampo sekundė metras	{0} kampo sekundės	3 kampo sekundės metras	{0} kampo sekundės	0,2 kampo sekundės metras	{0} kampo sekundžių	10 kampo sekundžių metras
angle	arc-second ( = 0.0000007˙716049382 rev)	feminine	kampo sekundė metras	accusative	{0} kampo sekundę	21 kampo sekundę metrą	{0} kampo sekundes	3 kampo sekundes metrą	{0} kampo sekundės	0,2 kampo sekundės metrą	{0} kampo sekundžių	10 kampo sekundžių metrą
angle	arc-second ( = 0.0000007˙716049382 rev)	feminine	kampo sekundė metras	genitive	{0} kampo sekundės	21 kampo sekundės metro	{0} kampo sekundžių	3 kampo sekundžių metro	{0} kampo sekundės	0,2 kampo sekundės metro	{0} kampo sekundžių	10 kampo sekundžių metro
angle	arc-second ( = 0.0000007˙716049382 rev)	feminine	kampo sekundė metras	dative	{0} kampo sekundei	21 kampo sekundei metrui	{0} kampo sekundėms	3 kampo sekundėms metrui	{0} kampo sekundės	0,2 kampo sekundės metrui	{0} kampo sekundžių	10 kampo sekundžių metrui
angle	arc-second ( = 0.0000007˙716049382 rev)	feminine	kampo sekundė metras	locative	{0} kampo sekundėje	21 kampo sekundėje metre	{0} kampo sekundėse	3 kampo sekundėse metre	{0} kampo sekundės	0,2 kampo sekundės metre	{0} kampo sekundžių	10 kampo sekundžių metre
angle	arc-second ( = 0.0000007˙716049382 rev)	feminine	kampo sekundė metras	instrumental	{0} kampo sekunde	21 kampo sekunde metru	{0} kampo sekundėmis	3 kampo sekundėmis metru	{0} kampo sekundės	0,2 kampo sekundės metru	{0} kampo sekundžių	10 kampo sekundžių metru
angle	arc-minute ( = 0.00004˙629 rev)	feminine	kampo minutė metras	nominative	{0} kampo minutė	21 kampo minutė metras	{0} kampo minutės	3 kampo minutės metras	{0} kampo minutės	0,2 kampo minutės metras	{0} kampo minučių	10 kampo minučių metras
angle	arc-minute ( = 0.00004˙629 rev)	feminine	kampo minutė metras	accusative	{0} kampo minutę	21 kampo minutę metrą	{0} kampo minutes	3 kampo minutes metrą	{0} kampo minutės	0,2 kampo minutės metrą	{0} kampo minučių	10 kampo minučių metrą
angle	arc-minute ( = 0.00004˙629 rev)	feminine	kampo minutė metras	genitive	{0} kampo minutės	21 kampo minutės metro	{0} kampo minučių	3 kampo minučių metro	{0} kampo minutės	0,2 kampo minutės metro	{0} kampo minučių	10 kampo minučių metro
angle	arc-minute ( = 0.00004˙629 rev)	feminine	kampo minutė metras	dative	{0} kampo minutei	21 kampo minutei metrui	{0} kampo minutėms	3 kampo minutėms metrui	{0} kampo minutės	0,2 kampo minutės metrui	{0} kampo minučių	10 kampo minučių metrui
angle	arc-minute ( = 0.00004˙629 rev)	feminine	kampo minutė metras	locative	{0} kampo minutėje	21 kampo minutėje metre	{0} kampo minutėse	3 kampo minutėse metre	{0} kampo minutės	0,2 kampo minutės metre	{0} kampo minučių	10 kampo minučių metre
angle	arc-minute ( = 0.00004˙629 rev)	feminine	kampo minutė metras	instrumental	{0} kampo minute	21 kampo minute metru	{0} kampo minutėmis	3 kampo minutėmis metru	{0} kampo minutės	0,2 kampo minutės metru	{0} kampo minučių	10 kampo minučių metru
angle	degree ( = 0.002˙7 rev)	masculine	laipsnis metras	nominative	{0} laipsnis	21 laipsnis metras	{0} laipsniai	3 laipsniai metras	{0} laipsnio	0,2 laipsnio metras	{0} laipsnių	10 laipsnių metras
angle	degree ( = 0.002˙7 rev)	masculine	laipsnis metras	accusative	{0} laipsnį	21 laipsnį metrą	{0} laipsnius	3 laipsnius metrą	{0} laipsnio	0,2 laipsnio metrą	{0} laipsnių	10 laipsnių metrą
angle	degree ( = 0.002˙7 rev)	masculine	laipsnis metras	genitive	{0} laipsnio	21 laipsnio metro	{0} laipsnių	3 laipsnių metro	{0} laipsnio	0,2 laipsnio metro	{0} laipsnių	10 laipsnių metro
