#Dir	Code	English Name	Native Name	Script	CLDR Target	Sublocales	Fields	UC	Missing	Modern	Miss +UC	Moderate	Miss +UC	Basic	Miss +UC	Core	Miss +UC	Core-Missing
common	af	Afrikaans	Afrikaans	Latn	modern	2	7140	17	1	7140	18	3384	0	386	0	9	0	
common	am	Amharic	አማርኛ	Ethi	modern	1	7252	0	0	7252	0	3481	0	473	0	9	0	
common	ar	Arabic	العربية	Arab	modern	28	10127	6	1	10127	7	5783	7	877	1	8	1	orientation
common	as	Assamese	অসমীয়া	Beng	modern	1	7121	0	4	7121	4	3358	3	396	0	9	0	
common	az	Azerbaijani	azərbaycan	Latn	modern	1	7260	3	0	7260	3	3479	3	465	0	9	0	
common	be	Belarusian	беларуская	Cyrl	modern	1	8454	0	6	8454	6	4425	5	413	0	9	0	
common	bg	Bulgarian	български	Cyrl	modern	1	7158	6	0	7158	6	3398	3	398	0	9	0	
common	bn	Bangla	বাংলা	Beng	modern	2	7186	0	0	7186	0	3407	0	405	0	9	0	
common	bs	Bosnian	bosanski	Latn	modern	1	7839	0	0	7839	0	3930	0	404	0	9	0	
common	ca	Catalan	català	Latn	modern	4	7188	0	0	7188	0	3413	0	397	0	9	0	
common	ceb	Cebuano	Binisaya	Latn	moderate	1	3357	0	3750	3357	3750	3346	3	384	0	8	0	ordinals*
common	cs	Czech	čeština	Latn	modern	1	8524	0	0	8524	0	4490	0	417	0	9	0	
common	cy	Welsh	Cymraeg	Latn	modern	1	9842	0	0	9842	0	5542	0	426	0	9	0	
common	da	Danish	dansk	Latn	modern	2	7246	0	0	7246	0	3402	0	393	0	9	0	
common	de	German	Deutsch	Latn	modern	7	7850	0	0	7850	0	3412	0	405	0	9	0	
common	doi	Dogri	डोगरी	Deva	basic	1	507	0	6558	507	6558	485	2843	385	1	7	1	ordinals*, collation
common	el	Greek	Ελληνικά	Grek	modern	2	7153	2	0	7153	2	3392	0	395	0	9	0	
common	en	English	English	Latn	modern	106	6778	2	0	6778	2	2945	2	700	0	9	0	
common	es	Spanish	español	Latn	modern	28	7271	0	0	7271	0	3410	0	533	0	9	0	
common	et	Estonian	eesti	Latn	modern	1	7165	0	0	7165	0	3401	0	389	0	9	0	
common	eu	Basque	euskara	Latn	modern	1	7176	2	2	7176	4	3403	3	386	1	8	1	collation
common	fa	Persian	فارسی	Arab	modern	2	7367	0	1	7367	1	3558	1	559	1	8	1	orientation
common	fi	Finnish	suomi	Latn	modern	1	7187	0	0	7187	0	3420	0	395	0	9	0	
common	fil	Filipino	Filipino	Latn	modern	1	7167	2	2	7167	4	3394	3	392	0	9	0	
common	fr	French	français	Latn	modern	46	8040	0	0	8040	0	4043	0	672	0	9	0	
common	ga	Irish	Gaeilge	Latn	modern	2	9124	9	1	9124	10	4973	7	419	0	9	0	
common	gl	Galician	galego	Latn	modern	1	7174	0	1	7174	1	3401	0	388	0	9	0	
common	gu	Gujarati	ગુજરાતી	Gujr	modern	1	7177	0	0	7177	0	3399	0	389	0	9	0	
common	ha	Hausa	Hausa	Latn	moderate	3	6456	0	657	6456	657	3359	0	386	0	8	0	ordinals*
common	he	Hebrew	עברית	Hebr	modern	1	8683	0	1	8683	1	4617	1	553	1	8	1	orientation
common	hi	Hindi	हिन्दी	Deva	modern	1	7460	18	4	7460	22	3468	16	466	0	9	0	
