#LCode	English Name	Script	Locale Level	Path Level	STStatus	Bailey	Vxml	VStatus	Section	Page	Header	Code	ST Link	Config Action
af	Afrikaans	Latin	modern	modern	READ_WRITE	doi			Locale Display Names	Languages (A-D)	D	Dogri ► doi	http://st.unicode.org/cldr-apps/v#/af//3b1808f53ad666df	
af	Afrikaans	Latin	modern	modern	READ_WRITE	skepel			Units	Volume	bushel	long-displayName	http://st.unicode.org/cldr-apps/v#/af//7a6345374de647dd	
af	Afrikaans	Latin	modern	modern	READ_WRITE	{0} st			Units	Mass and Weight	stone	short-one-nominative	http://st.unicode.org/cldr-apps/v#/af//6d8300ad95fecaba	
af	Afrikaans	Latin	modern	modern	READ_WRITE	{0} st			Units	Mass and Weight	stone	short-other-nominative	http://st.unicode.org/cldr-apps/v#/af//726ab91f191b33f4	
af	Afrikaans	Latin	modern	modern	READ_WRITE	skepel			Units	Volume	bushel	short-displayName	http://st.unicode.org/cldr-apps/v#/af//c42ae0a0bed9aa	
af	Afrikaans	Latin	modern	modern	READ_WRITE	oop-krulhakie			Characters	Symbols2	punctuation	{ –keywords	http://st.unicode.org/cldr-apps/v#/af//6c2bdce495fe72c4	
af	Afrikaans	Latin	modern	modern	READ_WRITE	oop-krulhakie			Characters	Symbols2	punctuation	{ -name	http://st.unicode.org/cldr-apps/v#/af//59abfcd56db82288	
af	Afrikaans	Latin	modern	modern	READ_WRITE	oop-blokhakie			Characters	Symbols2	punctuation	[ –keywords	http://st.unicode.org/cldr-apps/v#/af//76ef6a62dcd53618	
af	Afrikaans	Latin	modern	modern	READ_WRITE	oop-blokhakie			Characters	Symbols2	punctuation	[ -name	http://st.unicode.org/cldr-apps/v#/af//448ca56c2b4a1a90	
af	Afrikaans	Latin	modern	modern	READ_WRITE	oop-hoekhakie			Characters	Symbols2	punctuation	〈 –keywords	http://st.unicode.org/cldr-apps/v#/af//16ab93b70493926a	
af	Afrikaans	Latin	modern	modern	READ_WRITE	oop-hoekhakie			Characters	Symbols2	punctuation	〈 -name	http://st.unicode.org/cldr-apps/v#/af//189136bd501e2f89	
af	Afrikaans	Latin	modern	modern	READ_WRITE	sluit-hoekhakie			Characters	Symbols2	punctuation	〉 –keywords	http://st.unicode.org/cldr-apps/v#/af//7edd5072d2729f25	
