# Section	Page	Header	Code	Locale	Old	New	Level
Locale Display Names	Languages (O-S)	R	Root ► root	af	Root	▷removed◁	comprehensive
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbeng	af	▷missing◁	Engeland	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbeng	af	Engeland	▷removed◁	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbsct	af	▷missing◁	Skotland	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbsct	af	Skotland	▷removed◁	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbwls	af	▷missing◁	Wallis	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbwls	af	Wallis	▷removed◁	modern
Locale Display Names	Languages (O-S)	R	Root ► root	am	ሩት	▷removed◁	comprehensive
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbeng	am	▷missing◁	እንግሊዝ	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbeng	am	እንግሊዝ	▷removed◁	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbsct	am	▷missing◁	ስኮትላንድ	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbsct	am	ስኮትላንድ	▷removed◁	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbwls	am	▷missing◁	ዌልስ	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbwls	am	ዌልስ	▷removed◁	modern
Locale Display Names	Languages (O-S)	R	Root ► root	ar	‫الجذر‬	▷removed◁	comprehensive
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbeng	ar	▷missing◁	‫إنجلترا‬	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbeng	ar	‫إنجلترا‬	▷removed◁	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbsct	ar	▷missing◁	‫اسكتلندا‬	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbsct	ar	‫اسكتلندا‬	▷removed◁	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbwls	ar	▷missing◁	‫ويلز‬	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbwls	ar	‫ويلز‬	▷removed◁	modern
Locale Display Names	Languages (O-S)	R	Root ► root	as	ৰুট	▷removed◁	comprehensive
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbeng	as	▷missing◁	ইংলেণ্ড	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbeng	as	ইংলেণ্ড	▷removed◁	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbsct	as	▷missing◁	স্কটলেণ্ড	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbsct	as	স্কটলেণ্ড	▷removed◁	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbwls	as	▷missing◁	ৱেলছ্	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbwls	as	ৱেলছ্	▷removed◁	modern
Locale Display Names	Languages (E-J)	E	English ► en_GB-short	az	Britaniya ingiliscəsi	ingilis (BK)	basic
Locale Display Names	Languages (E-J)	E	English ► en_US-short	az	Amerika ingiliscəsi	ingilis (ABŞ)	basic
Locale Display Names	Languages (O-S)	R	Root ► root	az	rut	▷removed◁	comprehensive
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbeng	az	▷missing◁	İngiltərə	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbeng	az	İngiltərə	▷removed◁	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbsct	az	▷missing◁	Şotlandiya	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbsct	az	Şotlandiya	▷removed◁	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbwls	az	▷missing◁	Uels	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbwls	az	Uels	▷removed◁	modern
Locale Display Names	Languages (E-J)	E	English ► en_US-short	az_Cyrl	Америка инҝилисҹәси	инҝилис (АБШ)	basic
Locale Display Names	Languages (O-S)	R	Root ► root	az_Cyrl	рут	▷removed◁	comprehensive
Locale Display Names	Languages (E-J)	E	English ► en_US-short	be	амерыканская англійская	англійская (ЗША)	basic
Locale Display Names	Languages (O-S)	R	Root ► root	be	корань	▷removed◁	comprehensive
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbeng	be	▷missing◁	Англія	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbeng	be	Англія	▷removed◁	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbsct	be	▷missing◁	Шатландыя	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbsct	be	Шатландыя	▷removed◁	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbwls	be	▷missing◁	Уэльс	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbwls	be	Уэльс	▷removed◁	modern
Locale Display Names	Languages (O-S)	R	Root ► root	bg	роот	▷removed◁	comprehensive
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbeng	bg	▷missing◁	Англия	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbeng	bg	Англия	▷removed◁	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbsct	bg	▷missing◁	Шотландия	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbsct	bg	Шотландия	▷removed◁	modern
