#Path Level	#Locales	Locales	Section	Page	Header	Code
modern	2	sq zu	Characters	Symbols2	punctuation	! –keywords
modern	2	sq zu	Characters	Symbols2	punctuation	! -name
modern	2	sv zu	Characters	Symbols2	punctuation	# –keywords
modern	2	sv zu	Characters	Symbols2	punctuation	# -name
modern	1	sv	Characters	Symbols2	currency	$ –keywords
modern	1	sv	Characters	Symbols2	currency	$ -name
modern	2	sv zu	Characters	Symbols2	punctuation	% –keywords
modern	2	sv zu	Characters	Symbols2	punctuation	% -name
modern	2	ky zu	Characters	Symbols2	punctuation	& –keywords
modern	2	ky zu	Characters	Symbols2	punctuation	& -name
modern	1	so	Characters	Symbols2	punctuation	' –keywords
modern	1	so	Characters	Symbols2	punctuation	' -name
modern	1	so	Characters	Symbols2	punctuation	) –keywords
modern	1	so	Characters	Symbols2	punctuation	) -name
modern	1	zu	Characters	Symbols2	punctuation	* –keywords
modern	1	zu	Characters	Symbols2	punctuation	* -name
modern	1	sv	Characters	Symbols2	math	+ –keywords
modern	1	sv	Characters	Symbols2	math	+ -name
modern	1	zu	Characters	Symbols2	punctuation	, –keywords
modern	2	ps zu	Characters	Symbols2	punctuation	, -name
modern	1	sq	Characters	Symbols2	punctuation	- –keywords
modern	1	sq	Characters	Symbols2	punctuation	- -name
modern	1	uz	Characters	Symbols2	punctuation	. –keywords
modern	1	uz	Characters	Symbols2	punctuation	. -name
modern	1	zu	Characters	Symbols2	punctuation	/ –keywords
modern	1	zu	Characters	Symbols2	punctuation	/ -name
modern	1	zu	Characters	Symbols2	punctuation	: –keywords
modern	1	zu	Characters	Symbols2	punctuation	: -name
modern	1	zu	Characters	Symbols2	punctuation	; –keywords
modern	1	zu	Characters	Symbols2	punctuation	; -name
modern	2	af or	Characters	Symbols2	math	< –keywords
modern	1	or	Characters	Symbols2	math	< -name
modern	1	or	Characters	Symbols2	math	= –keywords
modern	1	or	Characters	Symbols2	math	= -name
modern	1	or	Characters	Symbols2	math	> –keywords
modern	1	or	Characters	Symbols2	math	> -name
modern	1	zu	Characters	Symbols2	punctuation	? –keywords
modern	1	zu	Characters	Symbols2	punctuation	? -name
modern	2	sv zu	Characters	Symbols2	punctuation	@ –keywords
modern	2	sv zu	Characters	Symbols2	punctuation	@ -name
modern	2	af so	Characters	Symbols2	punctuation	[ –keywords
modern	2	af so	Characters	Symbols2	punctuation	[ -name
modern	2	sv zu	Characters	Symbols2	punctuation	\ –keywords
modern	1	zu	Characters	Symbols2	punctuation	\ -name
modern	1	so	Characters	Symbols2	punctuation	] –keywords
modern	1	so	Characters	Symbols2	punctuation	] -name
modern	1	so	Characters	Symbols2	punctuation	^ –keywords
modern	2	so zu	Characters	Symbols2	punctuation	^ -name
modern	1	el	Characters	Symbols2	punctuation	_ –keywords
modern	1	el	Characters	Symbols2	punctuation	_ -name
modern	2	so zu	Characters	Symbols2	punctuation	` –keywords
modern	2	so zu	Characters	Symbols2	punctuation	` -name
modern	2	af so	Characters	Symbols2	punctuation	{ –keywords
modern	2	af so	Characters	Symbols2	punctuation	{ -name
modern	1	so	Characters	Symbols2	punctuation	} –keywords
